"","Description","Value","Replicate.Name","Retention.Time","Area","Area.with.QC","Precursor.Ion.Name","Background","Height","Mass.Error.PPM","all.Flags","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag"
"21",NA,NA,"180205_Poo_Sept29QC_2",7.45,7620397,7620397,"O-Acetylcarnitine",1729707,398706,-1.9,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"180205_Poo_Sept29QC_3",7.46,7714257,7714257,"O-Acetylcarnitine",1143670,400905,-2.4,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,"180205_Poo_Sept29QC_4",7.47,7936353,7936353,"O-Acetylcarnitine",1174848,397787,-2.4,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,"180205_Poo_TruePoo_Full1",7.46,23280266,23280266,"O-Acetylcarnitine",973191,1022641,-2.1,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,"180205_Poo_TruePoo_Full2",7.5,22073188,22073188,"O-Acetylcarnitine",1906852,1028565,-2.1,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,"180205_Poo_TruePoo_Full3",7.46,22741946,22741946,"O-Acetylcarnitine",1164434,1004886,-2.7,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,"180205_Poo_TruePoo_Half1",7.46,12621929,12621929,"O-Acetylcarnitine",1127932,506056,-1.8,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"180205_Poo_TruePoo_Half2",7.48,10822460,10822460,"O-Acetylcarnitine",2347888,488494,-1.9,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"180205_Poo_TruePoo_Half3",7.4,11224949,11224949,"O-Acetylcarnitine",855786,497777,-2.3,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"180205_Smp_L1C32DCMless10m_A",7.53,18193688,18193688,"O-Acetylcarnitine",1039012,841348,-2.1,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"180205_Smp_L1C32DCMless10m_B",7.46,17119876,17119876,"O-Acetylcarnitine",1086490,817585,-1.9,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,"180205_Smp_L1C32DCMless10m_C",7.41,23137940,23137940,"O-Acetylcarnitine",288879,995143,-2.4,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,"180205_Smp_L1C32DCMless20m_A",7.45,14169928,14169928,"O-Acetylcarnitine",977119,639687,-2,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,"180205_Smp_L1C32DCMless20m_B",7.47,31756450,31756450,"O-Acetylcarnitine",0,1427746,-2.3,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,"180205_Smp_L1C32DCMless20m_C",7.41,28675170,28675170,"O-Acetylcarnitine",0,1304700,-2.3,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,"180205_Smp_L1C33DCM_A",7.47,16532565,16532565,"O-Acetylcarnitine",1061327,821392,-2.2,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,"180205_Smp_L1C33DCM_B",7.44,38313512,38313512,"O-Acetylcarnitine",230631,1707052,-2,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,"180205_Smp_L1C33DCM_C",7.46,13739341,13739341,"O-Acetylcarnitine",935257,603890,-2.5,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,"180205_Smp_L1C33DCMplus10m_A",7.48,18834128,18834128,"O-Acetylcarnitine",1191467,860165,-2.1,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,"180205_Smp_L1C33DCMplus10m_B",7.47,26547740,26547740,"O-Acetylcarnitine",87990,1234482,-2.2,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,"180205_Smp_L1C33DCMplus10m_C",7.41,20711856,20711856,"O-Acetylcarnitine",865330,925942,-2.4,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,"180205_Smp_L1C33DCMplus20m_A",7.49,17166394,17166394,"O-Acetylcarnitine",1318299,852530,-2.1,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,"180205_Smp_L1C33DCMplus20m_B",7.47,16018757,16018757,"O-Acetylcarnitine",1106340,844393,-2.2,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,"180205_Smp_L1C33DCMplus20m_C",7.46,18409270,18409270,"O-Acetylcarnitine",866459,832437,-2.2,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"180205_Smp_L2C1DCMless10m_A",7.49,23089018,23089018,"O-Acetylcarnitine",1915704,1088790,-2,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"180205_Smp_L2C1DCMless10m_B",7.49,15387718,15387718,"O-Acetylcarnitine",1126190,701728,-2.1,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,"180205_Smp_L2C1DCMless10m_C",7.4,15480859,15480859,"O-Acetylcarnitine",1426721,786006,-2.6,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"180205_Smp_L2C1DCMless20m_A",7.49,14747925,14747925,"O-Acetylcarnitine",1442320,738849,-2,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"180205_Smp_L2C1DCMless20m_B",7.49,18900688,18900688,"O-Acetylcarnitine",1122887,921469,-2,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"180205_Smp_L2C1DCMless20m_C",7.44,10568190,10568190,"O-Acetylcarnitine",1100077,522362,-2.6,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"180205_Smp_L2C2DCM_A",7.49,21033002,21033002,"O-Acetylcarnitine",976719,946148,-2.7,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,"180205_Smp_L2C2DCM_B",7.49,40176072,40176072,"O-Acetylcarnitine",0,1946813,-2.3,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,"180205_Smp_L2C2DCM_C",7.43,25004206,25004206,"O-Acetylcarnitine",18901,1022964,-2,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"180205_Smp_L2C2DCMplus10m_A",7.48,29736718,29736718,"O-Acetylcarnitine",1188228,1475500,-2,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"180205_Smp_L2C2DCMplus10m_B",7.47,36174288,36174288,"O-Acetylcarnitine",2067153,1796368,-1.9,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,"180205_Smp_L2C2DCMplus10m_C",7.46,30122506,30122506,"O-Acetylcarnitine",1383032,1466891,-2.6,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"180205_Smp_L2C2DCMplus20m_A",7.49,45308020,45308020,"O-Acetylcarnitine",948572,2199803,-2.2,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"180205_Smp_L2C2DCMplus20m_B",7.47,50473420,50473420,"O-Acetylcarnitine",1848535,2320291,-2.2,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,"180205_Smp_L2C2DCMplus20m_C",7.46,38727528,38727528,"O-Acetylcarnitine",1649202,1718229,-2.6,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"180205_Std_4uMStdsInH2O_1",4.76,2773606144,2773606144,"Adenine",52050608,113241512,-4.2,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"61",NA,NA,"180205_Std_4uMStdsInH2O_2",4.66,2278571776,2278571776,"Adenine",43412452,84653208,-4.5,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"180205_Std_4uMStdsInMatrix_1",4.72,2999721216,2999721216,"Adenine",42869336,119229168,-4.1,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"63",NA,NA,"180205_Std_4uMStdsInMatrix_2",4.72,2279221504,2279221504,"Adenine",36324864,84335320,-4.8,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"180205_Blk_MQBlk_1",4.72,2561723,2561723,"Adenine",1241698,100426,-3.7,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,"180205_Blk_MQBlk_2",4.75,2271859,2271859,"Adenine",791162,88295,-3.7,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,"180205_Blk_MQBlk_3",4.75,3040069,3040069,"Adenine",717390,121786,-3.9,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"180205_Blk_SWBlk_1",4.76,4913324,4913324,"Adenine",990103,197815,-3.5,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"180205_Blk_SWBlk_2",4.73,5288971,5288971,"Adenine",697297,214942,-3.6,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"180205_Blk_SWBlk_3",4.72,5136389,5136389,"Adenine",731440,203361,-4.2,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"180205_Poo_Sept29QC_1",4.73,132941568,132941568,"Adenine",6151758,5384870,-3.5,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"180205_Poo_Sept29QC_2",4.73,111411344,111411344,"Adenine",3216087,4589690,-3.8,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,"180205_Poo_Sept29QC_3",4.7,115394592,115394592,"Adenine",3428260,4511453,-4.2,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,"180205_Poo_Sept29QC_4",4.76,111376352,111376352,"Adenine",3261581,4473828,-3.9,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"180205_Poo_TruePoo_Full1",4.75,246168448,246168448,"Adenine",5835132,10861110,-3.9,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"180205_Poo_TruePoo_Full2",4.72,221452112,221452112,"Adenine",5181214,9408765,-4.2,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"180205_Poo_TruePoo_Full3",4.73,237403728,237403728,"Adenine",4977736,9969343,-4.6,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"180205_Poo_TruePoo_Half1",4.7,123185344,123185344,"Adenine",4760259,4990870,-3.8,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"180205_Poo_TruePoo_Half2",4.75,98939272,98939272,"Adenine",4263683,4548084,-3.8,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"180205_Poo_TruePoo_Half3",4.72,122629704,122629704,"Adenine",4046166,4820204,-4,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"180205_Smp_L1C32DCMless10m_A",4.73,164853072,164853072,"Adenine",4106603,7011516,-3.8,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"180205_Smp_L1C32DCMless10m_B",4.7,194121200,194121200,"Adenine",5672300,8274041,-3.7,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,"180205_Smp_L1C32DCMless10m_C",4.72,215616752,215616752,"Adenine",5246632,9189928,-4.2,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,"180205_Smp_L1C32DCMless20m_A",4.75,247889120,247889120,"Adenine",6014059,10633365,-4.1,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"180205_Smp_L1C32DCMless20m_B",4.75,256028944,256028944,"Adenine",6272696,10347923,-4,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"180205_Smp_L1C32DCMless20m_C",4.7,240919360,240919360,"Adenine",6401924,9722856,-4.4,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"180205_Smp_L1C33DCM_A",4.72,182952448,182952448,"Adenine",4671944,7596870,-4.4,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"180205_Smp_L1C33DCM_B",4.72,226297920,226297920,"Adenine",5654874,9738111,-3.8,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"180205_Smp_L1C33DCM_C",4.72,254361232,254361232,"Adenine",6049934,10341245,-4.3,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,"180205_Smp_L1C33DCMplus10m_A",4.7,272350752,272350752,"Adenine",6700021,12056979,-4,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"180205_Smp_L1C33DCMplus10m_B",4.7,186684416,186684416,"Adenine",5333153,7950584,-3.9,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"180205_Smp_L1C33DCMplus10m_C",4.7,134474864,134474864,"Adenine",4344798,5503881,-4.2,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"180205_Smp_L1C33DCMplus20m_A",4.75,150353248,150353248,"Adenine",3791693,6510352,-4,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"180205_Smp_L1C33DCMplus20m_B",4.7,119144328,119144328,"Adenine",3247972,5215620,-3.9,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"180205_Smp_L1C33DCMplus20m_C",4.7,115667232,115667232,"Adenine",3294429,4790499,-4.1,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,"180205_Smp_L2C1DCMless10m_A",4.7,174747536,174747536,"Adenine",3603056,7263946,-3.9,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,"180205_Smp_L2C1DCMless10m_B",4.72,200938336,200938336,"Adenine",5378534,8549362,-3.7,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"180205_Smp_L2C1DCMless10m_C",4.72,172759904,172759904,"Adenine",4830489,7294484,-4.5,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"180205_Smp_L2C1DCMless20m_A",4.67,242191776,242191776,"Adenine",7155664,9864875,-3.8,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"180205_Smp_L2C1DCMless20m_B",4.73,251311776,251311776,"Adenine",8471093,10560238,-4.1,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"180205_Smp_L2C1DCMless20m_C",4.69,179679520,179679520,"Adenine",5912554,7562207,-4.3,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"180205_Smp_L2C2DCM_A",4.73,166326992,166326992,"Adenine",4566615,7141646,-4.3,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"180205_Smp_L2C2DCM_B",4.78,170685024,170685024,"Adenine",4399525,7031070,-4.2,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,"180205_Smp_L2C2DCM_C",4.72,194998832,194998832,"Adenine",5259883,7709578,-4,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"180205_Smp_L2C2DCMplus10m_A",4.78,311287424,311287424,"Adenine",7400997,12792403,-4,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"180205_Smp_L2C2DCMplus10m_B",4.75,155831680,155831680,"Adenine",5478659,6539073,-3.8,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"180205_Smp_L2C2DCMplus10m_C",4.72,134113872,134113872,"Adenine",3375063,5666197,-4.4,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"180205_Smp_L2C2DCMplus20m_A",4.71,147046000,147046000,"Adenine",3666740,6170079,-3.9,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,"180205_Smp_L2C2DCMplus20m_B",4.72,127638720,127638720,"Adenine",3171962,5390975,-3.9,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"180205_Smp_L2C2DCMplus20m_C",4.75,108914672,108914672,"Adenine",2770868,4380416,-4.1,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"180205_Std_4uMStdsInH2O_1",4.46,1025127936,1025127936,"Adenosine",9495309,31318444,-2.5,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"180205_Std_4uMStdsInH2O_2",4.4,938380096,938380096,"Adenosine",9249222,31769150,-2.8,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"180205_Std_4uMStdsInMatrix_1",4.47,1099705216,1099705216,"Adenosine",8667202,34601784,-2.3,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"180205_Std_4uMStdsInMatrix_2",4.38,934509312,934509312,"Adenosine",11502006,30511404,-3.1,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"180205_Blk_MQBlk_1",4.72,419747,419747,"Adenosine",0,17453,-2.1,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"180205_Blk_MQBlk_2",4.52,22702,22702,"Adenosine",0,8477,-1.9,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"116",NA,NA,"180205_Blk_MQBlk_3",4.46,5295,5295,"Adenosine",0,3013,-0.2,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"117",NA,NA,"180205_Blk_SWBlk_1",4.46,233628,233628,"Adenosine",0,14556,-1.4,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"118",NA,NA,"180205_Blk_SWBlk_2",4.56,850743,850743,"Adenosine",0,34422,-1.9,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"180205_Blk_SWBlk_3",4.4,413545,413545,"Adenosine",0,20457,-2.2,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"180205_Poo_Sept29QC_1",4.52,26663288,26663288,"Adenosine",0,957134,-1.8,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"180205_Poo_Sept29QC_2",4.46,15603935,15603935,"Adenosine",139086,551907,-2.1,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"180205_Poo_Sept29QC_3",4.46,21942706,21942706,"Adenosine",0,845517,-2.3,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"180205_Poo_Sept29QC_4",4.55,16574434,16574434,"Adenosine",156167,608890,-2.1,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,"180205_Poo_TruePoo_Full1",4.43,64243916,64243916,"Adenosine",692912,2334515,-2,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"180205_Poo_TruePoo_Full2",4.46,45978632,45978632,"Adenosine",522788,1743004,-2.4,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"180205_Poo_TruePoo_Full3",4.49,68006808,68006808,"Adenosine",519493,2408897,-2.8,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,"180205_Poo_TruePoo_Half1",4.42,32190434,32190434,"Adenosine",102236,1071085,-2.1,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,"180205_Poo_TruePoo_Half2",4.47,21593426,21593426,"Adenosine",0,716218,-2,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,"180205_Poo_TruePoo_Half3",4.46,32406618,32406618,"Adenosine",91859,1120529,-2.2,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,"180205_Smp_L1C32DCMless10m_A",4.52,28007420,28007420,"Adenosine",250352,1058096,-2,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,"180205_Smp_L1C32DCMless10m_B",4.46,36780480,36780480,"Adenosine",522971,1313687,-1.8,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,"180205_Smp_L1C32DCMless10m_C",4.44,73620704,73620704,"Adenosine",556649,2668529,-2.4,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,"180205_Smp_L1C32DCMless20m_A",4.5,32175010,32175010,"Adenosine",224727,1223377,-2.1,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,"180205_Smp_L1C32DCMless20m_B",4.47,102299608,102299608,"Adenosine",1327855,3988882,-2.2,NA,NA,NA,NA,NA,NA,NA
"135",NA,NA,"180205_Smp_L1C32DCMless20m_C",4.43,87841472,87841472,"Adenosine",970693,3083759,-2.6,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,"180205_Smp_L1C33DCM_A",4.49,41658252,41658252,"Adenosine",123647,1449329,-2.6,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,"180205_Smp_L1C33DCM_B",4.52,74559520,74559520,"Adenosine",793537,2714178,-2,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,"180205_Smp_L1C33DCM_C",4.49,51309352,51309352,"Adenosine",641855,1919654,-2.4,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,"180205_Smp_L1C33DCMplus10m_A",4.43,55034296,55034296,"Adenosine",491972,2005279,-2.2,NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,"180205_Smp_L1C33DCMplus10m_B",4.52,68861144,68861144,"Adenosine",682578,2397023,-2,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,"180205_Smp_L1C33DCMplus10m_C",4.46,69587616,69587616,"Adenosine",787659,2392145,-2.3,NA,NA,NA,NA,NA,NA,NA
"142",NA,NA,"180205_Smp_L1C33DCMplus20m_A",4.52,27965544,27965544,"Adenosine",227771,1053670,-2.2,NA,NA,NA,NA,NA,NA,NA
"143",NA,NA,"180205_Smp_L1C33DCMplus20m_B",4.44,21031906,21031906,"Adenosine",0,755988,-2.1,NA,NA,NA,NA,NA,NA,NA
"144",NA,NA,"180205_Smp_L1C33DCMplus20m_C",4.43,40048136,40048136,"Adenosine",41791,1498733,-2.2,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,"180205_Smp_L2C1DCMless10m_A",4.5,46452880,46452880,"Adenosine",675517,1877536,-2.1,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,"180205_Smp_L2C1DCMless10m_B",4.49,47253884,47253884,"Adenosine",620849,1815733,-1.9,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,"180205_Smp_L2C1DCMless10m_C",4.49,65142260,65142260,"Adenosine",734196,2227726,-2.7,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,"180205_Smp_L2C1DCMless20m_A",4.52,99894936,99894936,"Adenosine",1468166,3608184,-2,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,"180205_Smp_L2C1DCMless20m_B",4.47,77731592,77731592,"Adenosine",1002949,2600117,-2.2,NA,NA,NA,NA,NA,NA,NA
"150",NA,NA,"180205_Smp_L2C1DCMless20m_C",4.44,45945580,45945580,"Adenosine",42487,1676688,-2.5,NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,"180205_Smp_L2C2DCM_A",4.45,39377304,39377304,"Adenosine",159297,1477772,-2.4,NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,"180205_Smp_L2C2DCM_B",4.44,80123408,80123408,"Adenosine",1070628,2940155,-2.3,NA,NA,NA,NA,NA,NA,NA
"153",NA,NA,"180205_Smp_L2C2DCM_C",4.43,55544772,55544772,"Adenosine",699377,1927447,-2.1,NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,"180205_Smp_L2C2DCMplus10m_A",4.49,31627736,31627736,"Adenosine",442717,1190549,-2,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,"180205_Smp_L2C2DCMplus10m_B",4.43,32087880,32087880,"Adenosine",230893,1121824,-2.1,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,"180205_Smp_L2C2DCMplus10m_C",4.52,29488994,29488994,"Adenosine",19579,1056612,-2.7,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,"180205_Smp_L2C2DCMplus20m_A",4.46,31016354,31016354,"Adenosine",125807,1120085,-2.1,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,"180205_Smp_L2C2DCMplus20m_B",4.46,26702470,26702470,"Adenosine",122769,968017,-2.1,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,"180205_Smp_L2C2DCMplus20m_C",4.41,26180198,26180198,"Adenosine",2749,896016,-2.4,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,"180205_Std_4uMStdsInH2O_1",10.21,174997888,174997888,"S-Adenosylhomocysteine",2975446,11170965,-1.6,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,"180205_Std_4uMStdsInH2O_2",9.83,96292464,96292464,"S-Adenosylhomocysteine",1291197,6588279,-1.8,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,"180205_Std_4uMStdsInMatrix_1",10.37,47021816,47021816,"S-Adenosylhomocysteine",500923,2951692,-1.4,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,"180205_Std_4uMStdsInMatrix_2",10.26,43340564,43340564,"S-Adenosylhomocysteine",0,1651735,-2.1,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,"180205_Blk_MQBlk_1",13,4877,4877,"S-Adenosylhomocysteine",0,4666,5.1,"RT.Flag","RT.Flag",NA,NA,NA,NA,NA
"165",NA,NA,"180205_Blk_MQBlk_2",8.67,7077,7077,"S-Adenosylhomocysteine",0,7668,15.9,"RT.Flag","RT.Flag",NA,NA,NA,NA,NA
"166",NA,NA,"180205_Blk_MQBlk_3",NA,NA,NA,"S-Adenosylhomocysteine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,"180205_Blk_SWBlk_1",11.23,5285,5285,"S-Adenosylhomocysteine",0,5198,4.4,"RT.Flag","RT.Flag",NA,NA,NA,NA,NA
