"Precursor.Ion.Name","Replicate.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","Column"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus10m_B",7.47,26547740,87990,1234482,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus10m_C",7.41,20711856,865330,925942,-2.4,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus20m_A",7.49,17166394,1318299,852530,-2.1,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus20m_B",7.47,16018757,1106340,844393,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus20m_C",7.46,18409270,866459,832437,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless10m_A",7.49,23089018,1915704,1088790,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless10m_B",7.49,15387718,1126190,701728,-2.1,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless10m_C",7.4,15480859,1426721,786006,-2.6,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless20m_A",7.49,14747925,1442320,738849,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless20m_B",7.49,18900688,1122887,921469,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C1DCMless20m_C",7.44,10568190,1100077,522362,-2.6,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCM_A",7.49,21033002,976719,946148,-2.7,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCM_B",7.49,40176072,0,1946813,-2.3,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCM_C",7.43,25004206,18901,1022964,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus10m_A",7.48,29736718,1188228,1475500,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus10m_B",7.47,36174288,2067153,1796368,-1.9,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus10m_C",7.46,30122506,1383032,1466891,-2.6,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus20m_A",7.49,45308020,948572,2199803,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus20m_B",7.47,50473420,1848535,2320291,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L2C2DCMplus20m_C",7.46,38727528,1649202,1718229,-2.6,"HILICpos"
"Adenine","180205_Std_4uMStdsInH2O_1",4.76,2773606144,52050608,113241512,-4.2,"HILICpos"
"Adenine","180205_Std_4uMStdsInH2O_2",4.66,2278571776,43412452,84653208,-4.5,"HILICpos"
"Adenine","180205_Std_4uMStdsInMatrix_1",4.72,2999721216,42869336,119229168,-4.1,"HILICpos"
"Adenine","180205_Std_4uMStdsInMatrix_2",4.72,2279221504,36324864,84335320,-4.8,"HILICpos"
"Adenine","180205_Blk_MQBlk_1",4.72,2561723,1241698,100426,-3.7,"HILICpos"
"Adenine","180205_Blk_MQBlk_2",4.75,2271859,791162,88295,-3.7,"HILICpos"
"Adenine","180205_Blk_MQBlk_3",4.75,3040069,717390,121786,-3.9,"HILICpos"
"Adenine","180205_Blk_SWBlk_1",4.76,4913324,990103,197815,-3.5,"HILICpos"
"Adenine","180205_Blk_SWBlk_2",4.73,5288971,697297,214942,-3.6,"HILICpos"
"Adenine","180205_Blk_SWBlk_3",4.72,5136389,731440,203361,-4.2,"HILICpos"
"Adenine","180205_Poo_Sept29QC_1",4.73,132941568,6151758,5384870,-3.5,"HILICpos"
"Adenine","180205_Poo_Sept29QC_2",4.73,111411344,3216087,4589690,-3.8,"HILICpos"
"Adenine","180205_Poo_Sept29QC_3",4.7,115394592,3428260,4511453,-4.2,"HILICpos"
"Adenine","180205_Poo_Sept29QC_4",4.76,111376352,3261581,4473828,-3.9,"HILICpos"
"Adenine","180205_Poo_TruePoo_Full1",4.75,246168448,5835132,10861110,-3.9,"HILICpos"
"Adenine","180205_Poo_TruePoo_Full2",4.72,221452112,5181214,9408765,-4.2,"HILICpos"
"Adenine","180205_Poo_TruePoo_Full3",4.73,237403728,4977736,9969343,-4.6,"HILICpos"
"Adenine","180205_Poo_TruePoo_Half1",4.7,123185344,4760259,4990870,-3.8,"HILICpos"
"Adenine","180205_Poo_TruePoo_Half2",4.75,98939272,4263683,4548084,-3.8,"HILICpos"
"Adenine","180205_Poo_TruePoo_Half3",4.72,122629704,4046166,4820204,-4,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless10m_A",4.73,164853072,4106603,7011516,-3.8,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless10m_B",4.7,194121200,5672300,8274041,-3.7,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless10m_C",4.72,215616752,5246632,9189928,-4.2,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless20m_A",4.75,247889120,6014059,10633365,-4.1,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless20m_B",4.75,256028944,6272696,10347923,-4,"HILICpos"
"Adenine","180205_Smp_L1C32DCMless20m_C",4.7,240919360,6401924,9722856,-4.4,"HILICpos"
"Adenine","180205_Smp_L1C33DCM_A",4.72,182952448,4671944,7596870,-4.4,"HILICpos"
"Adenine","180205_Smp_L1C33DCM_B",4.72,226297920,5654874,9738111,-3.8,"HILICpos"
"Adenine","180205_Smp_L1C33DCM_C",4.72,254361232,6049934,10341245,-4.3,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus10m_A",4.7,272350752,6700021,12056979,-4,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus10m_B",4.7,186684416,5333153,7950584,-3.9,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus10m_C",4.7,134474864,4344798,5503881,-4.2,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus20m_A",4.75,150353248,3791693,6510352,-4,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus20m_B",4.7,119144328,3247972,5215620,-3.9,"HILICpos"
"Adenine","180205_Smp_L1C33DCMplus20m_C",4.7,115667232,3294429,4790499,-4.1,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless10m_A",4.7,174747536,3603056,7263946,-3.9,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless10m_B",4.72,200938336,5378534,8549362,-3.7,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless10m_C",4.72,172759904,4830489,7294484,-4.5,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless20m_A",4.67,242191776,7155664,9864875,-3.8,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless20m_B",4.73,251311776,8471093,10560238,-4.1,"HILICpos"
"Adenine","180205_Smp_L2C1DCMless20m_C",4.69,179679520,5912554,7562207,-4.3,"HILICpos"
"Adenine","180205_Smp_L2C2DCM_A",4.73,166326992,4566615,7141646,-4.3,"HILICpos"
"Adenine","180205_Smp_L2C2DCM_B",4.78,170685024,4399525,7031070,-4.2,"HILICpos"
"Adenine","180205_Smp_L2C2DCM_C",4.72,194998832,5259883,7709578,-4,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus10m_A",4.78,311287424,7400997,12792403,-4,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus10m_B",4.75,155831680,5478659,6539073,-3.8,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus10m_C",4.72,134113872,3375063,5666197,-4.4,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus20m_A",4.71,147046000,3666740,6170079,-3.9,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus20m_B",4.72,127638720,3171962,5390975,-3.9,"HILICpos"
"Adenine","180205_Smp_L2C2DCMplus20m_C",4.75,108914672,2770868,4380416,-4.1,"HILICpos"
"Adenosine","180205_Std_4uMStdsInH2O_1",4.46,1025127936,9495309,31318444,-2.5,"HILICpos"
"Adenosine","180205_Std_4uMStdsInH2O_2",4.4,938380096,9249222,31769150,-2.8,"HILICpos"
"Adenosine","180205_Std_4uMStdsInMatrix_1",4.47,1099705216,8667202,34601784,-2.3,"HILICpos"
"Adenosine","180205_Std_4uMStdsInMatrix_2",4.38,934509312,11502006,30511404,-3.1,"HILICpos"
"Adenosine","180205_Blk_MQBlk_1",4.72,419747,0,17453,-2.1,"HILICpos"
"Adenosine","180205_Blk_MQBlk_2",4.52,22702,0,8477,-1.9,"HILICpos"
"Adenosine","180205_Blk_MQBlk_3",4.46,5295,0,3013,-0.2,"HILICpos"
"Adenosine","180205_Blk_SWBlk_1",4.46,233628,0,14556,-1.4,"HILICpos"
"Adenosine","180205_Blk_SWBlk_2",4.56,850743,0,34422,-1.9,"HILICpos"
"Adenosine","180205_Blk_SWBlk_3",4.4,413545,0,20457,-2.2,"HILICpos"
"Adenosine","180205_Poo_Sept29QC_1",4.52,26663288,0,957134,-1.8,"HILICpos"
"Adenosine","180205_Poo_Sept29QC_2",4.46,15603935,139086,551907,-2.1,"HILICpos"
"Adenosine","180205_Poo_Sept29QC_3",4.46,21942706,0,845517,-2.3,"HILICpos"
"Adenosine","180205_Poo_Sept29QC_4",4.55,16574434,156167,608890,-2.1,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Full1",4.43,64243916,692912,2334515,-2,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Full2",4.46,45978632,522788,1743004,-2.4,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Full3",4.49,68006808,519493,2408897,-2.8,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Half1",4.42,32190434,102236,1071085,-2.1,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Half2",4.47,21593426,0,716218,-2,"HILICpos"
"Adenosine","180205_Poo_TruePoo_Half3",4.46,32406618,91859,1120529,-2.2,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless10m_A",4.52,28007420,250352,1058096,-2,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless10m_B",4.46,36780480,522971,1313687,-1.8,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless10m_C",4.44,73620704,556649,2668529,-2.4,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless20m_A",4.5,32175010,224727,1223377,-2.1,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless20m_B",4.47,102299608,1327855,3988882,-2.2,"HILICpos"
"Adenosine","180205_Smp_L1C32DCMless20m_C",4.43,87841472,970693,3083759,-2.6,"HILICpos"
"Adenosine","180205_Smp_L1C33DCM_A",4.49,41658252,123647,1449329,-2.6,"HILICpos"
"Adenosine","180205_Smp_L1C33DCM_B",4.52,74559520,793537,2714178,-2,"HILICpos"
"Adenosine","180205_Smp_L1C33DCM_C",4.49,51309352,641855,1919654,-2.4,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus10m_A",4.43,55034296,491972,2005279,-2.2,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus10m_B",4.52,68861144,682578,2397023,-2,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus10m_C",4.46,69587616,787659,2392145,-2.3,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus20m_A",4.52,27965544,227771,1053670,-2.2,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus20m_B",4.44,21031906,0,755988,-2.1,"HILICpos"
"Adenosine","180205_Smp_L1C33DCMplus20m_C",4.43,40048136,41791,1498733,-2.2,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless10m_A",4.5,46452880,675517,1877536,-2.1,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless10m_B",4.49,47253884,620849,1815733,-1.9,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless10m_C",4.49,65142260,734196,2227726,-2.7,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless20m_A",4.52,99894936,1468166,3608184,-2,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless20m_B",4.47,77731592,1002949,2600117,-2.2,"HILICpos"
"Adenosine","180205_Smp_L2C1DCMless20m_C",4.44,45945580,42487,1676688,-2.5,"HILICpos"
"Adenosine","180205_Smp_L2C2DCM_A",4.45,39377304,159297,1477772,-2.4,"HILICpos"
"Adenosine","180205_Smp_L2C2DCM_B",4.44,80123408,1070628,2940155,-2.3,"HILICpos"
"Adenosine","180205_Smp_L2C2DCM_C",4.43,55544772,699377,1927447,-2.1,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus10m_A",4.49,31627736,442717,1190549,-2,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus10m_B",4.43,32087880,230893,1121824,-2.1,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus10m_C",4.52,29488994,19579,1056612,-2.7,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus20m_A",4.46,31016354,125807,1120085,-2.1,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus20m_B",4.46,26702470,122769,968017,-2.1,"HILICpos"
"Adenosine","180205_Smp_L2C2DCMplus20m_C",4.41,26180198,2749,896016,-2.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Std_4uMStdsInH2O_1",10.21,174997888,2975446,11170965,-1.6,"HILICpos"
"S-Adenosylhomocysteine","180205_Std_4uMStdsInH2O_2",9.83,96292464,1291197,6588279,-1.8,"HILICpos"
"S-Adenosylhomocysteine","180205_Std_4uMStdsInMatrix_1",10.37,47021816,500923,2951692,-1.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Std_4uMStdsInMatrix_2",10.26,43340564,0,1651735,-2.1,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_MQBlk_1",13,4877,0,4666,5.1,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_MQBlk_2",8.67,7077,0,7668,15.9,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_MQBlk_3",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_SWBlk_1",11.23,5285,0,5198,4.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_SWBlk_2",7.14,4665,0,4347,4.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Blk_SWBlk_3",5.24,9373,0,3661,0.6,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_Sept29QC_1",8.36,658774,0,57244,-7.1,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_Sept29QC_2",4.75,4914,0,4663,-3.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_Sept29QC_3",6.29,4827,0,4470,-0.1,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_Sept29QC_4",6.54,5935,0,3986,0.7,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Full1",8.32,990184,0,75793,-7.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Full2",5.19,5095,0,5178,8.3,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Full3",6.69,10240,0,7984,-0.1,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Half1",10.49,5701,0,4250,-1.8,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Half2",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylhomocysteine","180205_Poo_TruePoo_Half3",6.19,5273,0,2979,1.6,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless10m_A",8.4,400008,0,33015,-7.3,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless10m_B",3.63,6062,0,4458,1.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless10m_C",6.39,5760,0,4671,0.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless20m_A",10.53,8464,0,6692,-1,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless20m_B",10.61,16480,0,7718,-0.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C32DCMless20m_C",13.87,8097,0,7883,-1.5,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCM_A",10.52,6245,0,4960,1,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCM_B",10.51,10981,0,9953,1.3,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCM_C",10.55,8408,0,4714,-1.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus10m_A",8.36,1000562,0,61399,-7.4,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus10m_B",5.33,5733,0,5278,0.3,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus10m_C",7.18,14020,0,13895,0,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus20m_A",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus20m_B",5.96,4949,0,3177,0.7,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L1C33DCMplus20m_C",6.63,16947,0,6215,2.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless10m_A",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless10m_B",9.14,7597,0,6031,2.3,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless10m_C",5.9,6940,0,3858,-0.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless20m_A",8.36,1040554,0,83667,-7.2,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless20m_B",4.23,4755,0,3762,0.6,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C1DCMless20m_C",11.19,7056,0,4493,-8.9,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCM_A",3.14,4205,0,2623,1.9,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCM_B",3.88,10628,0,6033,-0.5,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCM_C",3.78,8782,0,5518,0.8,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus10m_A",8.38,477723,0,43092,-7.6,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus10m_B",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus10m_C",5.83,7034,0,7387,0,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus20m_A",8.32,886770,0,74447,-7.5,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus20m_B",6.31,6997,0,6516,0.5,"HILICpos"
"S-Adenosylhomocysteine","180205_Smp_L2C2DCMplus20m_C",3.97,7584,0,7474,0.2,"HILICpos"
"S-Adenosylmethionine","180205_Std_4uMStdsInH2O_1",12.25,109475248,0,5880333,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Std_4uMStdsInH2O_2",12.28,11694413,0,579284,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Std_4uMStdsInMatrix_1",12.28,125496616,1632095,6925061,-1.1,"HILICpos"
"S-Adenosylmethionine","180205_Std_4uMStdsInMatrix_2",12.23,10340032,0,616370,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Blk_MQBlk_1",12.39,5672,0,5524,-5,"HILICpos"
"S-Adenosylmethionine","180205_Blk_MQBlk_2",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylmethionine","180205_Blk_MQBlk_3",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylmethionine","180205_Blk_SWBlk_1",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylmethionine","180205_Blk_SWBlk_2",NA,NA,NA,NA,NA,"HILICpos"
"S-Adenosylmethionine","180205_Blk_SWBlk_3",17.29,5741,0,3523,-6.5,"HILICpos"
"S-Adenosylmethionine","180205_Poo_Sept29QC_1",12.27,3051960,0,169834,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Poo_Sept29QC_2",12.41,21427,0,9475,-0.9,"HILICpos"
"S-Adenosylmethionine","180205_Poo_Sept29QC_3",12.41,38822,0,8916,-2.4,"HILICpos"
"S-Adenosylmethionine","180205_Poo_Sept29QC_4",13.06,7231,0,6973,-0.5,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Full1",12.33,2626855,24629,161420,-1.4,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Full2",12.42,26073,0,9442,-1,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Full3",12.21,34417,0,8658,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Half1",12.36,1234020,0,71889,-1.3,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Half2",6.75,18651,0,9382,1,"HILICpos"
"S-Adenosylmethionine","180205_Poo_TruePoo_Half3",12.14,8625,0,8450,-0.4,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless10m_A",12.42,3135676,0,160878,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless10m_B",12.31,76630,0,12769,-0.6,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless10m_C",12.25,156786,0,15495,-2.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless20m_A",12.37,189214,0,15647,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless20m_B",12.32,113884,0,18638,-0.9,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C32DCMless20m_C",12.37,236254,0,19020,-1,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCM_A",12.52,8130,0,4947,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCM_B",12.33,128954,0,16054,-1.3,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCM_C",12.32,133374,0,14522,-2.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus10m_A",12.31,3020405,0,172462,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus10m_B",12.31,41414,0,11807,-1.1,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus10m_C",12.34,83597,0,14003,-1.6,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus20m_A",12.38,15460,0,7911,-0.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus20m_B",6.81,685567,0,35848,0.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L1C33DCMplus20m_C",6.75,712685,0,36008,0.8,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless10m_A",12.61,8161,0,5743,0.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless10m_B",12.46,17312,0,9242,-1.1,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless10m_C",12.35,56208,0,10571,-1.3,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless20m_A",12.33,4070390,0,236270,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless20m_B",12.29,116883,0,15880,-1.4,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C1DCMless20m_C",12.38,104130,0,12244,-1.1,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCM_A",12.31,30929,0,8279,-0.7,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCM_B",12.35,51207,0,12714,-1.2,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCM_C",12.32,44993,0,10571,-0.6,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCMplus10m_A",12.35,1750994,0,99792,-1.4,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCMplus10m_B",12.52,11914,0,7410,-0.9,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCMplus10m_C",12.34,21079,0,7562,-1.5,"HILICpos"
"S-Adenosylmethionine","180205_Smp_L2C2DCMplus20m_A",12.35,1405363,0,80659,-1.6,"HILICpos"
