"","Replicate.Name","Precursor.Ion.Name","Area"
"30","180205_Smp_L2C1DCMless20m_B","O-Acetylcarnitine",18900688
"31","180205_Smp_L2C1DCMless20m_C","O-Acetylcarnitine",10568190
"32","180205_Smp_L2C2DCM_A","O-Acetylcarnitine",21033002
"33","180205_Smp_L2C2DCM_B","O-Acetylcarnitine",40176072
"34","180205_Smp_L2C2DCM_C","O-Acetylcarnitine",25004206
"35","180205_Smp_L2C2DCMplus10m_A","O-Acetylcarnitine",29736718
"36","180205_Smp_L2C2DCMplus10m_B","O-Acetylcarnitine",36174288
"37","180205_Smp_L2C2DCMplus10m_C","O-Acetylcarnitine",30122506
"38","180205_Smp_L2C2DCMplus20m_A","O-Acetylcarnitine",45308020
"39","180205_Smp_L2C2DCMplus20m_B","O-Acetylcarnitine",50473420
"40","180205_Smp_L2C2DCMplus20m_C","O-Acetylcarnitine",38727528
"41","180205_Poo_Sept29QC_1","Adenine",132941568
"42","180205_Poo_Sept29QC_2","Adenine",111411344
"43","180205_Poo_Sept29QC_3","Adenine",115394592
"44","180205_Poo_Sept29QC_4","Adenine",111376352
"45","180205_Poo_TruePoo_Full1","Adenine",246168448
"46","180205_Poo_TruePoo_Full2","Adenine",221452112
"47","180205_Poo_TruePoo_Full3","Adenine",237403728
"48","180205_Poo_TruePoo_Half1","Adenine",123185344
"49","180205_Poo_TruePoo_Half2","Adenine",98939272
"50","180205_Poo_TruePoo_Half3","Adenine",122629704
"51","180205_Smp_L1C32DCMless10m_A","Adenine",164853072
"52","180205_Smp_L1C32DCMless10m_B","Adenine",194121200
"53","180205_Smp_L1C32DCMless10m_C","Adenine",215616752
"54","180205_Smp_L1C32DCMless20m_A","Adenine",247889120
"55","180205_Smp_L1C32DCMless20m_B","Adenine",256028944
"56","180205_Smp_L1C32DCMless20m_C","Adenine",240919360
"57","180205_Smp_L1C33DCM_A","Adenine",182952448
"58","180205_Smp_L1C33DCM_B","Adenine",226297920
"59","180205_Smp_L1C33DCM_C","Adenine",254361232
"60","180205_Smp_L1C33DCMplus10m_A","Adenine",272350752
"61","180205_Smp_L1C33DCMplus10m_B","Adenine",186684416
"62","180205_Smp_L1C33DCMplus10m_C","Adenine",134474864
"63","180205_Smp_L1C33DCMplus20m_A","Adenine",150353248
"64","180205_Smp_L1C33DCMplus20m_B","Adenine",119144328
"65","180205_Smp_L1C33DCMplus20m_C","Adenine",115667232
"66","180205_Smp_L2C1DCMless10m_A","Adenine",174747536
"67","180205_Smp_L2C1DCMless10m_B","Adenine",200938336
"68","180205_Smp_L2C1DCMless10m_C","Adenine",172759904
"69","180205_Smp_L2C1DCMless20m_A","Adenine",242191776
"70","180205_Smp_L2C1DCMless20m_B","Adenine",251311776
"71","180205_Smp_L2C1DCMless20m_C","Adenine",179679520
"72","180205_Smp_L2C2DCM_A","Adenine",166326992
"73","180205_Smp_L2C2DCM_B","Adenine",170685024
"74","180205_Smp_L2C2DCM_C","Adenine",194998832
"75","180205_Smp_L2C2DCMplus10m_A","Adenine",311287424
"76","180205_Smp_L2C2DCMplus10m_B","Adenine",155831680
"77","180205_Smp_L2C2DCMplus10m_C","Adenine",134113872
"78","180205_Smp_L2C2DCMplus20m_A","Adenine",147046000
"79","180205_Smp_L2C2DCMplus20m_B","Adenine",127638720
"80","180205_Smp_L2C2DCMplus20m_C","Adenine",108914672
"81","180205_Poo_Sept29QC_1","Adenosine",26663288
"82","180205_Poo_Sept29QC_2","Adenosine",15603935
"83","180205_Poo_Sept29QC_3","Adenosine",21942706
"84","180205_Poo_Sept29QC_4","Adenosine",16574434
"85","180205_Poo_TruePoo_Full1","Adenosine",64243916
"86","180205_Poo_TruePoo_Full2","Adenosine",45978632
"87","180205_Poo_TruePoo_Full3","Adenosine",68006808
"88","180205_Poo_TruePoo_Half1","Adenosine",32190434
"89","180205_Poo_TruePoo_Half2","Adenosine",21593426
"90","180205_Poo_TruePoo_Half3","Adenosine",32406618
"91","180205_Smp_L1C32DCMless10m_A","Adenosine",28007420
"92","180205_Smp_L1C32DCMless10m_B","Adenosine",36780480
"93","180205_Smp_L1C32DCMless10m_C","Adenosine",73620704
"94","180205_Smp_L1C32DCMless20m_A","Adenosine",32175010
"95","180205_Smp_L1C32DCMless20m_B","Adenosine",102299608
"96","180205_Smp_L1C32DCMless20m_C","Adenosine",87841472
"97","180205_Smp_L1C33DCM_A","Adenosine",41658252
"98","180205_Smp_L1C33DCM_B","Adenosine",74559520
"99","180205_Smp_L1C33DCM_C","Adenosine",51309352
"100","180205_Smp_L1C33DCMplus10m_A","Adenosine",55034296
"101","180205_Smp_L1C33DCMplus10m_B","Adenosine",68861144
"102","180205_Smp_L1C33DCMplus10m_C","Adenosine",69587616
"103","180205_Smp_L1C33DCMplus20m_A","Adenosine",27965544
"104","180205_Smp_L1C33DCMplus20m_B","Adenosine",21031906
"105","180205_Smp_L1C33DCMplus20m_C","Adenosine",40048136
"106","180205_Smp_L2C1DCMless10m_A","Adenosine",46452880
"107","180205_Smp_L2C1DCMless10m_B","Adenosine",47253884
"108","180205_Smp_L2C1DCMless10m_C","Adenosine",65142260
"109","180205_Smp_L2C1DCMless20m_A","Adenosine",99894936
"110","180205_Smp_L2C1DCMless20m_B","Adenosine",77731592
"111","180205_Smp_L2C1DCMless20m_C","Adenosine",45945580
"112","180205_Smp_L2C2DCM_A","Adenosine",39377304
"113","180205_Smp_L2C2DCM_B","Adenosine",80123408
"114","180205_Smp_L2C2DCM_C","Adenosine",55544772
"115","180205_Smp_L2C2DCMplus10m_A","Adenosine",31627736
"116","180205_Smp_L2C2DCMplus10m_B","Adenosine",32087880
"117","180205_Smp_L2C2DCMplus10m_C","Adenosine",29488994
"118","180205_Smp_L2C2DCMplus20m_A","Adenosine",31016354
"119","180205_Smp_L2C2DCMplus20m_B","Adenosine",26702470
"120","180205_Smp_L2C2DCMplus20m_C","Adenosine",26180198
"121","180205_Poo_Sept29QC_1","S-Adenosylhomocysteine",658774
"122","180205_Poo_Sept29QC_2","S-Adenosylhomocysteine",4914
"123","180205_Poo_Sept29QC_3","S-Adenosylhomocysteine",4827
"124","180205_Poo_Sept29QC_4","S-Adenosylhomocysteine",5935
"125","180205_Poo_TruePoo_Full1","S-Adenosylhomocysteine",990184
"126","180205_Poo_TruePoo_Full2","S-Adenosylhomocysteine",5095
"127","180205_Poo_TruePoo_Full3","S-Adenosylhomocysteine",10240
"128","180205_Poo_TruePoo_Half1","S-Adenosylhomocysteine",5701
"129","180205_Poo_TruePoo_Half2","S-Adenosylhomocysteine",NA
"130","180205_Poo_TruePoo_Half3","S-Adenosylhomocysteine",5273
"131","180205_Smp_L1C32DCMless10m_A","S-Adenosylhomocysteine",400008
"132","180205_Smp_L1C32DCMless10m_B","S-Adenosylhomocysteine",6062
"133","180205_Smp_L1C32DCMless10m_C","S-Adenosylhomocysteine",5760
"134","180205_Smp_L1C32DCMless20m_A","S-Adenosylhomocysteine",8464
"135","180205_Smp_L1C32DCMless20m_B","S-Adenosylhomocysteine",16480
"136","180205_Smp_L1C32DCMless20m_C","S-Adenosylhomocysteine",8097
"137","180205_Smp_L1C33DCM_A","S-Adenosylhomocysteine",6245
"138","180205_Smp_L1C33DCM_B","S-Adenosylhomocysteine",10981
"139","180205_Smp_L1C33DCM_C","S-Adenosylhomocysteine",8408
"140","180205_Smp_L1C33DCMplus10m_A","S-Adenosylhomocysteine",1000562
"141","180205_Smp_L1C33DCMplus10m_B","S-Adenosylhomocysteine",5733
"142","180205_Smp_L1C33DCMplus10m_C","S-Adenosylhomocysteine",14020
"143","180205_Smp_L1C33DCMplus20m_A","S-Adenosylhomocysteine",NA
"144","180205_Smp_L1C33DCMplus20m_B","S-Adenosylhomocysteine",4949
"145","180205_Smp_L1C33DCMplus20m_C","S-Adenosylhomocysteine",16947
"146","180205_Smp_L2C1DCMless10m_A","S-Adenosylhomocysteine",NA
"147","180205_Smp_L2C1DCMless10m_B","S-Adenosylhomocysteine",7597
"148","180205_Smp_L2C1DCMless10m_C","S-Adenosylhomocysteine",6940
"149","180205_Smp_L2C1DCMless20m_A","S-Adenosylhomocysteine",1040554
"150","180205_Smp_L2C1DCMless20m_B","S-Adenosylhomocysteine",4755
"151","180205_Smp_L2C1DCMless20m_C","S-Adenosylhomocysteine",7056
"152","180205_Smp_L2C2DCM_A","S-Adenosylhomocysteine",4205
"153","180205_Smp_L2C2DCM_B","S-Adenosylhomocysteine",10628
"154","180205_Smp_L2C2DCM_C","S-Adenosylhomocysteine",8782
"155","180205_Smp_L2C2DCMplus10m_A","S-Adenosylhomocysteine",477723
"156","180205_Smp_L2C2DCMplus10m_B","S-Adenosylhomocysteine",NA
"157","180205_Smp_L2C2DCMplus10m_C","S-Adenosylhomocysteine",7034
"158","180205_Smp_L2C2DCMplus20m_A","S-Adenosylhomocysteine",886770
"159","180205_Smp_L2C2DCMplus20m_B","S-Adenosylhomocysteine",6997
"160","180205_Smp_L2C2DCMplus20m_C","S-Adenosylhomocysteine",7584
"161","180205_Poo_Sept29QC_1","S-Adenosylmethionine",3051960
"162","180205_Poo_Sept29QC_2","S-Adenosylmethionine",21427
"163","180205_Poo_Sept29QC_3","S-Adenosylmethionine",38822
"164","180205_Poo_Sept29QC_4","S-Adenosylmethionine",7231
"165","180205_Poo_TruePoo_Full1","S-Adenosylmethionine",2626855
"166","180205_Poo_TruePoo_Full2","S-Adenosylmethionine",26073
"167","180205_Poo_TruePoo_Full3","S-Adenosylmethionine",34417
"168","180205_Poo_TruePoo_Half1","S-Adenosylmethionine",1234020
"169","180205_Poo_TruePoo_Half2","S-Adenosylmethionine",18651
"170","180205_Poo_TruePoo_Half3","S-Adenosylmethionine",8625
"171","180205_Smp_L1C32DCMless10m_A","S-Adenosylmethionine",3135676
"172","180205_Smp_L1C32DCMless10m_B","S-Adenosylmethionine",76630
"173","180205_Smp_L1C32DCMless10m_C","S-Adenosylmethionine",156786
"174","180205_Smp_L1C32DCMless20m_A","S-Adenosylmethionine",189214
"175","180205_Smp_L1C32DCMless20m_B","S-Adenosylmethionine",113884
"176","180205_Smp_L1C32DCMless20m_C","S-Adenosylmethionine",236254
"177","180205_Smp_L1C33DCM_A","S-Adenosylmethionine",8130
"178","180205_Smp_L1C33DCM_B","S-Adenosylmethionine",128954
"179","180205_Smp_L1C33DCM_C","S-Adenosylmethionine",133374
"180","180205_Smp_L1C33DCMplus10m_A","S-Adenosylmethionine",3020405
"181","180205_Smp_L1C33DCMplus10m_B","S-Adenosylmethionine",41414
"182","180205_Smp_L1C33DCMplus10m_C","S-Adenosylmethionine",83597
"183","180205_Smp_L1C33DCMplus20m_A","S-Adenosylmethionine",15460
"184","180205_Smp_L1C33DCMplus20m_B","S-Adenosylmethionine",685567
"185","180205_Smp_L1C33DCMplus20m_C","S-Adenosylmethionine",712685
"186","180205_Smp_L2C1DCMless10m_A","S-Adenosylmethionine",8161
"187","180205_Smp_L2C1DCMless10m_B","S-Adenosylmethionine",17312
"188","180205_Smp_L2C1DCMless10m_C","S-Adenosylmethionine",56208
"189","180205_Smp_L2C1DCMless20m_A","S-Adenosylmethionine",4070390
"190","180205_Smp_L2C1DCMless20m_B","S-Adenosylmethionine",116883
"191","180205_Smp_L2C1DCMless20m_C","S-Adenosylmethionine",104130
"192","180205_Smp_L2C2DCM_A","S-Adenosylmethionine",30929
"193","180205_Smp_L2C2DCM_B","S-Adenosylmethionine",51207
"194","180205_Smp_L2C2DCM_C","S-Adenosylmethionine",44993
"195","180205_Smp_L2C2DCMplus10m_A","S-Adenosylmethionine",1750994
"196","180205_Smp_L2C2DCMplus10m_B","S-Adenosylmethionine",11914
"197","180205_Smp_L2C2DCMplus10m_C","S-Adenosylmethionine",21079
"198","180205_Smp_L2C2DCMplus20m_A","S-Adenosylmethionine",1405363
"199","180205_Smp_L2C2DCMplus20m_B","S-Adenosylmethionine",22610
"200","180205_Smp_L2C2DCMplus20m_C","S-Adenosylmethionine",8433
"201","180205_Poo_Sept29QC_1","L-Alanine",6629083
"202","180205_Poo_Sept29QC_2","L-Alanine",1362274
"203","180205_Poo_Sept29QC_3","L-Alanine",956222
"204","180205_Poo_Sept29QC_4","L-Alanine",1730645
"205","180205_Poo_TruePoo_Full1","L-Alanine",9161359
"206","180205_Poo_TruePoo_Full2","L-Alanine",1917366
"207","180205_Poo_TruePoo_Full3","L-Alanine",935432
"208","180205_Poo_TruePoo_Half1","L-Alanine",6404440
"209","180205_Poo_TruePoo_Half2","L-Alanine",2545743
"210","180205_Poo_TruePoo_Half3","L-Alanine",2289286
"211","180205_Smp_L1C32DCMless10m_A","L-Alanine",5745780
"212","180205_Smp_L1C32DCMless10m_B","L-Alanine",2061926
"213","180205_Smp_L1C32DCMless10m_C","L-Alanine",1876238
"214","180205_Smp_L1C32DCMless20m_A","L-Alanine",3027177
"215","180205_Smp_L1C32DCMless20m_B","L-Alanine",3029131
"216","180205_Smp_L1C32DCMless20m_C","L-Alanine",2676672
"217","180205_Smp_L1C33DCM_A","L-Alanine",2873920
"218","180205_Smp_L1C33DCM_B","L-Alanine",3407474
"219","180205_Smp_L1C33DCM_C","L-Alanine",975525
"220","180205_Smp_L1C33DCMplus10m_A","L-Alanine",9106207
"221","180205_Smp_L1C33DCMplus10m_B","L-Alanine",2474904
"222","180205_Smp_L1C33DCMplus10m_C","L-Alanine",1818553
"223","180205_Smp_L1C33DCMplus20m_A","L-Alanine",2212800
"224","180205_Smp_L1C33DCMplus20m_B","L-Alanine",1706940
"225","180205_Smp_L1C33DCMplus20m_C","L-Alanine",1472288
"226","180205_Smp_L2C1DCMless10m_A","L-Alanine",1764109
"227","180205_Smp_L2C1DCMless10m_B","L-Alanine",1687096
"228","180205_Smp_L2C1DCMless10m_C","L-Alanine",752422
"229","180205_Smp_L2C1DCMless20m_A","L-Alanine",5929858
"230","180205_Smp_L2C1DCMless20m_B","L-Alanine",1437785
"231","180205_Smp_L2C1DCMless20m_C","L-Alanine",678562
"232","180205_Smp_L2C2DCM_A","L-Alanine",2545939
"233","180205_Smp_L2C2DCM_B","L-Alanine",2621687
"234","180205_Smp_L2C2DCM_C","L-Alanine",1262220
"235","180205_Smp_L2C2DCMplus10m_A","L-Alanine",3790278
"236","180205_Smp_L2C2DCMplus10m_B","L-Alanine",1423359
"237","180205_Smp_L2C2DCMplus10m_C","L-Alanine",705746
"238","180205_Smp_L2C2DCMplus20m_A","L-Alanine",4094450
"239","180205_Smp_L2C2DCMplus20m_B","L-Alanine",1046533
"240","180205_Smp_L2C2DCMplus20m_C","L-Alanine",412616
"241","180205_Poo_Sept29QC_1","4-Aminobutyric acid",13974049
"242","180205_Poo_Sept29QC_2","4-Aminobutyric acid",60484544
"243","180205_Poo_Sept29QC_3","4-Aminobutyric acid",54333212
"244","180205_Poo_Sept29QC_4","4-Aminobutyric acid",55300796
"245","180205_Poo_TruePoo_Full1","4-Aminobutyric acid",132676488
"246","180205_Poo_TruePoo_Full2","4-Aminobutyric acid",33969472
"247","180205_Poo_TruePoo_Full3","4-Aminobutyric acid",46050824
"248","180205_Poo_TruePoo_Half1","4-Aminobutyric acid",105656848
"249","180205_Poo_TruePoo_Half2","4-Aminobutyric acid",7486730
"250","180205_Poo_TruePoo_Half3","4-Aminobutyric acid",33935660
"251","180205_Smp_L1C32DCMless10m_A","4-Aminobutyric acid",96252992
"252","180205_Smp_L1C32DCMless10m_B","4-Aminobutyric acid",48131408
"253","180205_Smp_L1C32DCMless10m_C","4-Aminobutyric acid",57456408
"254","180205_Smp_L1C32DCMless20m_A","4-Aminobutyric acid",50231396
"255","180205_Smp_L1C32DCMless20m_B","4-Aminobutyric acid",51590576
"256","180205_Smp_L1C32DCMless20m_C","4-Aminobutyric acid",41028696
"257","180205_Smp_L1C33DCM_A","4-Aminobutyric acid",58305768
"258","180205_Smp_L1C33DCM_B","4-Aminobutyric acid",47531920
"259","180205_Smp_L1C33DCM_C","4-Aminobutyric acid",83188056
"260","180205_Smp_L1C33DCMplus10m_A","4-Aminobutyric acid",130492624
"261","180205_Smp_L1C33DCMplus10m_B","4-Aminobutyric acid",37981664
"262","180205_Smp_L1C33DCMplus10m_C","4-Aminobutyric acid",40204012
"263","180205_Smp_L1C33DCMplus20m_A","4-Aminobutyric acid",55679932
"264","180205_Smp_L1C33DCMplus20m_B","4-Aminobutyric acid",65481296
"265","180205_Smp_L1C33DCMplus20m_C","4-Aminobutyric acid",37482948
"266","180205_Smp_L2C1DCMless10m_A","4-Aminobutyric acid",32977828
"267","180205_Smp_L2C1DCMless10m_B","4-Aminobutyric acid",47501536
"268","180205_Smp_L2C1DCMless10m_C","4-Aminobutyric acid",81442832
"269","180205_Smp_L2C1DCMless20m_A","4-Aminobutyric acid",132268816
"270","180205_Smp_L2C1DCMless20m_B","4-Aminobutyric acid",43999512
"271","180205_Smp_L2C1DCMless20m_C","4-Aminobutyric acid",77208976
"272","180205_Smp_L2C2DCM_A","4-Aminobutyric acid",59548236
"273","180205_Smp_L2C2DCM_B","4-Aminobutyric acid",54417020
"274","180205_Smp_L2C2DCM_C","4-Aminobutyric acid",63486144
"275","180205_Smp_L2C2DCMplus10m_A","4-Aminobutyric acid",117817320
"276","180205_Smp_L2C2DCMplus10m_B","4-Aminobutyric acid",42307988
"277","180205_Smp_L2C2DCMplus10m_C","4-Aminobutyric acid",45673908
"278","180205_Smp_L2C2DCMplus20m_A","4-Aminobutyric acid",110041624
"279","180205_Smp_L2C2DCMplus20m_B","4-Aminobutyric acid",45446876
"280","180205_Smp_L2C2DCMplus20m_C","4-Aminobutyric acid",65663640
"281","180205_Poo_Sept29QC_1","L-Arginine",19046150
"282","180205_Poo_Sept29QC_2","L-Arginine",7467988
"283","180205_Poo_Sept29QC_3","L-Arginine",7768371
"284","180205_Poo_Sept29QC_4","L-Arginine",7350234
"285","180205_Poo_TruePoo_Full1","L-Arginine",44926412
"286","180205_Poo_TruePoo_Full2","L-Arginine",16654542
"287","180205_Poo_TruePoo_Full3","L-Arginine",19529606
"288","180205_Poo_TruePoo_Half1","L-Arginine",41861372
"289","180205_Poo_TruePoo_Half2","L-Arginine",9819709
"290","180205_Poo_TruePoo_Half3","L-Arginine",9695782
"291","180205_Smp_L1C32DCMless10m_A","L-Arginine",48840524
"292","180205_Smp_L1C32DCMless10m_B","L-Arginine",23326976
"293","180205_Smp_L1C32DCMless10m_C","L-Arginine",31845466
"294","180205_Smp_L1C32DCMless20m_A","L-Arginine",20283714
"295","180205_Smp_L1C32DCMless20m_B","L-Arginine",62645376
"296","180205_Smp_L1C32DCMless20m_C","L-Arginine",52599600
"297","180205_Smp_L1C33DCM_A","L-Arginine",24727886
"298","180205_Smp_L1C33DCM_B","L-Arginine",50858044
"299","180205_Smp_L1C33DCM_C","L-Arginine",20777196
"300","180205_Smp_L1C33DCMplus10m_A","L-Arginine",61869228
"301","180205_Smp_L1C33DCMplus10m_B","L-Arginine",33642068
"302","180205_Smp_L1C33DCMplus10m_C","L-Arginine",29553550
"303","180205_Smp_L1C33DCMplus20m_A","L-Arginine",24838312
"304","180205_Smp_L1C33DCMplus20m_B","L-Arginine",15340853
"305","180205_Smp_L1C33DCMplus20m_C","L-Arginine",22597302
"306","180205_Smp_L2C1DCMless10m_A","L-Arginine",20098020
"307","180205_Smp_L2C1DCMless10m_B","L-Arginine",14642741
"308","180205_Smp_L2C1DCMless10m_C","L-Arginine",14960076
"309","180205_Smp_L2C1DCMless20m_A","L-Arginine",33491108
"310","180205_Smp_L2C1DCMless20m_B","L-Arginine",14298138
"311","180205_Smp_L2C1DCMless20m_C","L-Arginine",8907223
"312","180205_Smp_L2C2DCM_A","L-Arginine",14347244
"313","180205_Smp_L2C2DCM_B","L-Arginine",51629108
"314","180205_Smp_L2C2DCM_C","L-Arginine",21805428
"315","180205_Smp_L2C2DCMplus10m_A","L-Arginine",36944512
"316","180205_Smp_L2C2DCMplus10m_B","L-Arginine",21559498
"317","180205_Smp_L2C2DCMplus10m_C","L-Arginine",17294908
"318","180205_Smp_L2C2DCMplus20m_A","L-Arginine",23134722
"319","180205_Smp_L2C2DCMplus20m_B","L-Arginine",18570732
"320","180205_Smp_L2C2DCMplus20m_C","L-Arginine",9820238
"321","180205_Poo_Sept29QC_1"," L-Arginosuccinic acid",26533
"322","180205_Poo_Sept29QC_2"," L-Arginosuccinic acid",NA
"323","180205_Poo_Sept29QC_3"," L-Arginosuccinic acid",6503
"324","180205_Poo_Sept29QC_4"," L-Arginosuccinic acid",7789
"325","180205_Poo_TruePoo_Full1"," L-Arginosuccinic acid",4755
"326","180205_Poo_TruePoo_Full2"," L-Arginosuccinic acid",NA
"327","180205_Poo_TruePoo_Full3"," L-Arginosuccinic acid",NA
"328","180205_Poo_TruePoo_Half1"," L-Arginosuccinic acid",4579
"329","180205_Poo_TruePoo_Half2"," L-Arginosuccinic acid",5453
"330","180205_Poo_TruePoo_Half3"," L-Arginosuccinic acid",NA
"331","180205_Smp_L1C32DCMless10m_A"," L-Arginosuccinic acid",8541
"332","180205_Smp_L1C32DCMless10m_B"," L-Arginosuccinic acid",NA
"333","180205_Smp_L1C32DCMless10m_C"," L-Arginosuccinic acid",4602
"334","180205_Smp_L1C32DCMless20m_A"," L-Arginosuccinic acid",4645
"335","180205_Smp_L1C32DCMless20m_B"," L-Arginosuccinic acid",5991
"336","180205_Smp_L1C32DCMless20m_C"," L-Arginosuccinic acid",4071
"337","180205_Smp_L1C33DCM_A"," L-Arginosuccinic acid",NA
"338","180205_Smp_L1C33DCM_B"," L-Arginosuccinic acid",NA
"339","180205_Smp_L1C33DCM_C"," L-Arginosuccinic acid",4358
"340","180205_Smp_L1C33DCMplus10m_A"," L-Arginosuccinic acid",8635
"341","180205_Smp_L1C33DCMplus10m_B"," L-Arginosuccinic acid",NA
"342","180205_Smp_L1C33DCMplus10m_C"," L-Arginosuccinic acid",4168
"343","180205_Smp_L1C33DCMplus20m_A"," L-Arginosuccinic acid",NA
"344","180205_Smp_L1C33DCMplus20m_B"," L-Arginosuccinic acid",5069
"345","180205_Smp_L1C33DCMplus20m_C"," L-Arginosuccinic acid",5587
"346","180205_Smp_L2C1DCMless10m_A"," L-Arginosuccinic acid",17033
"347","180205_Smp_L2C1DCMless10m_B"," L-Arginosuccinic acid",14101
"348","180205_Smp_L2C1DCMless10m_C"," L-Arginosuccinic acid",NA
"349","180205_Smp_L2C1DCMless20m_A"," L-Arginosuccinic acid",19357
"350","180205_Smp_L2C1DCMless20m_B"," L-Arginosuccinic acid",NA
"351","180205_Smp_L2C1DCMless20m_C"," L-Arginosuccinic acid",4440
"352","180205_Smp_L2C2DCM_A"," L-Arginosuccinic acid",6058
"353","180205_Smp_L2C2DCM_B"," L-Arginosuccinic acid",4546
"354","180205_Smp_L2C2DCM_C"," L-Arginosuccinic acid",4996
"355","180205_Smp_L2C2DCMplus10m_A"," L-Arginosuccinic acid",NA
"356","180205_Smp_L2C2DCMplus10m_B"," L-Arginosuccinic acid",25388
"357","180205_Smp_L2C2DCMplus10m_C"," L-Arginosuccinic acid",NA
"358","180205_Smp_L2C2DCMplus20m_A"," L-Arginosuccinic acid",4985
"359","180205_Smp_L2C2DCMplus20m_B"," L-Arginosuccinic acid",3967
"360","180205_Smp_L2C2DCMplus20m_C"," L-Arginosuccinic acid",7187
"361","180205_Poo_Sept29QC_1","L-Asparagine",3608284
"362","180205_Poo_Sept29QC_2","L-Asparagine",975264
"363","180205_Poo_Sept29QC_3","L-Asparagine",964167
"364","180205_Poo_Sept29QC_4","L-Asparagine",921738
"365","180205_Poo_TruePoo_Full1","L-Asparagine",3896673
"366","180205_Poo_TruePoo_Full2","L-Asparagine",1042052
"367","180205_Poo_TruePoo_Full3","L-Asparagine",1210176
"368","180205_Poo_TruePoo_Half1","L-Asparagine",2297769
"369","180205_Poo_TruePoo_Half2","L-Asparagine",704416
"370","180205_Poo_TruePoo_Half3","L-Asparagine",709953
"371","180205_Smp_L1C32DCMless10m_A","L-Asparagine",3883957
"372","180205_Smp_L1C32DCMless10m_B","L-Asparagine",1434171
"373","180205_Smp_L1C32DCMless10m_C","L-Asparagine",1598636
"374","180205_Smp_L1C32DCMless20m_A","L-Asparagine",1650736
"375","180205_Smp_L1C32DCMless20m_B","L-Asparagine",1998326
"376","180205_Smp_L1C32DCMless20m_C","L-Asparagine",2174632
"377","180205_Smp_L1C33DCM_A","L-Asparagine",1602527
"378","180205_Smp_L1C33DCM_B","L-Asparagine",2147983
"379","180205_Smp_L1C33DCM_C","L-Asparagine",1539059
"380","180205_Smp_L1C33DCMplus10m_A","L-Asparagine",4748873
"381","180205_Smp_L1C33DCMplus10m_B","L-Asparagine",1547804
"382","180205_Smp_L1C33DCMplus10m_C","L-Asparagine",1775750
"383","180205_Smp_L1C33DCMplus20m_A","L-Asparagine",1030630
"384","180205_Smp_L1C33DCMplus20m_B","L-Asparagine",900366
"385","180205_Smp_L1C33DCMplus20m_C","L-Asparagine",1285377
"386","180205_Smp_L2C1DCMless10m_A","L-Asparagine",1056742
"387","180205_Smp_L2C1DCMless10m_B","L-Asparagine",1238377
"388","180205_Smp_L2C1DCMless10m_C","L-Asparagine",1105018
"389","180205_Smp_L2C1DCMless20m_A","L-Asparagine",3359917
"390","180205_Smp_L2C1DCMless20m_B","L-Asparagine",828460
"391","180205_Smp_L2C1DCMless20m_C","L-Asparagine",913613
"392","180205_Smp_L2C2DCM_A","L-Asparagine",1063777
"393","180205_Smp_L2C2DCM_B","L-Asparagine",1637100
"394","180205_Smp_L2C2DCM_C","L-Asparagine",1201593
