"","Replicate.Name","Precursor.Ion.Name","Area","Background","Signal.to.Noise"
"27","180205_Smp_L2C1DCMless10m_B","O-Acetylcarnitine",15387718,1126190,13.6635185892256
"28","180205_Smp_L2C1DCMless10m_C","O-Acetylcarnitine",15480859,1426721,10.8506561549175
"29","180205_Smp_L2C1DCMless20m_A","O-Acetylcarnitine",14747925,1442320,10.2251407454656
"30","180205_Smp_L2C1DCMless20m_B","O-Acetylcarnitine",18900688,1122887,16.8322262168856
"31","180205_Smp_L2C1DCMless20m_C","O-Acetylcarnitine",10568190,1100077,9.60677298043682
"32","180205_Smp_L2C2DCM_A","O-Acetylcarnitine",21033002,976719,21.5343430403217
"33","180205_Smp_L2C2DCM_B","O-Acetylcarnitine",40176072,0,Inf
"34","180205_Smp_L2C2DCM_C","O-Acetylcarnitine",25004206,18901,1322.90386752024
"35","180205_Smp_L2C2DCMplus10m_A","O-Acetylcarnitine",29736718,1188228,25.0261044176707
"36","180205_Smp_L2C2DCMplus10m_B","O-Acetylcarnitine",36174288,2067153,17.499569698034
"37","180205_Smp_L2C2DCMplus10m_C","O-Acetylcarnitine",30122506,1383032,21.7800499193077
"38","180205_Smp_L2C2DCMplus20m_A","O-Acetylcarnitine",45308020,948572,47.7644501418975
"39","180205_Smp_L2C2DCMplus20m_B","O-Acetylcarnitine",50473420,1848535,27.3045519830569
"40","180205_Smp_L2C2DCMplus20m_C","O-Acetylcarnitine",38727528,1649202,23.4825861234706
"41","180205_Poo_Sept29QC_1","Adenine",132941568,6151758,21.6103377278495
"42","180205_Poo_Sept29QC_2","Adenine",111411344,3216087,34.6418937049899
"43","180205_Poo_Sept29QC_3","Adenine",115394592,3428260,33.6598134330535
"44","180205_Poo_Sept29QC_4","Adenine",111376352,3261581,34.1479644381053
"45","180205_Poo_TruePoo_Full1","Adenine",246168448,5835132,42.1872972196687
"46","180205_Poo_TruePoo_Full2","Adenine",221452112,5181214,42.7413559833661
"47","180205_Poo_TruePoo_Full3","Adenine",237403728,4977736,47.693113495774
"48","180205_Poo_TruePoo_Half1","Adenine",123185344,4760259,25.87786588923
"49","180205_Poo_TruePoo_Half2","Adenine",98939272,4263683,23.2051191423002
"50","180205_Poo_TruePoo_Half3","Adenine",122629704,4046166,30.307630482783
"51","180205_Smp_L1C32DCMless10m_A","Adenine",164853072,4106603,40.1434158597751
"52","180205_Smp_L1C32DCMless10m_B","Adenine",194121200,5672300,34.2226610017101
"53","180205_Smp_L1C32DCMless10m_C","Adenine",215616752,5246632,41.0962217285298
"54","180205_Smp_L1C32DCMless20m_A","Adenine",247889120,6014059,41.218272052203
"55","180205_Smp_L1C32DCMless20m_B","Adenine",256028944,6272696,40.8164119542857
"56","180205_Smp_L1C32DCMless20m_C","Adenine",240919360,6401924,37.6323367787559
"57","180205_Smp_L1C33DCM_A","Adenine",182952448,4671944,39.1598118470598
"58","180205_Smp_L1C33DCM_B","Adenine",226297920,5654874,40.0182073022317
"59","180205_Smp_L1C33DCM_C","Adenine",254361232,6049934,42.0436375008389
"60","180205_Smp_L1C33DCMplus10m_A","Adenine",272350752,6700021,40.6492385620881
"61","180205_Smp_L1C33DCMplus10m_B","Adenine",186684416,5333153,35.0045115900481
"62","180205_Smp_L1C33DCMplus10m_C","Adenine",134474864,4344798,30.9507746965452
"63","180205_Smp_L1C33DCMplus20m_A","Adenine",150353248,3791693,39.6533284735869
"64","180205_Smp_L1C33DCMplus20m_B","Adenine",119144328,3247972,36.6826832251017
"65","180205_Smp_L1C33DCMplus20m_C","Adenine",115667232,3294429,35.1099483400614
"66","180205_Smp_L2C1DCMless10m_A","Adenine",174747536,3603056,48.4998112713208
"67","180205_Smp_L2C1DCMless10m_B","Adenine",200938336,5378534,37.35931315113
"68","180205_Smp_L2C1DCMless10m_C","Adenine",172759904,4830489,35.764475190814
"69","180205_Smp_L2C1DCMless20m_A","Adenine",242191776,7155664,33.8461638221135
"70","180205_Smp_L2C1DCMless20m_B","Adenine",251311776,8471093,29.6669834695476
"71","180205_Smp_L2C1DCMless20m_C","Adenine",179679520,5912554,30.3894932714357
"72","180205_Smp_L2C2DCM_A","Adenine",166326992,4566615,36.4223811291296
"73","180205_Smp_L2C2DCM_B","Adenine",170685024,4399525,38.7962391394526
"74","180205_Smp_L2C2DCM_C","Adenine",194998832,5259883,37.0728459169149
"75","180205_Smp_L2C2DCMplus10m_A","Adenine",311287424,7400997,42.060201348548
"76","180205_Smp_L2C2DCMplus10m_B","Adenine",155831680,5478659,28.4433982841422
"77","180205_Smp_L2C2DCMplus10m_C","Adenine",134113872,3375063,39.7367018037885
"78","180205_Smp_L2C2DCMplus20m_A","Adenine",147046000,3666740,40.1026524924047
"79","180205_Smp_L2C2DCMplus20m_B","Adenine",127638720,3171962,40.2396750024118
"80","180205_Smp_L2C2DCMplus20m_C","Adenine",108914672,2770868,39.3070590154421
"81","180205_Poo_Sept29QC_1","Adenosine",26663288,0,Inf
"82","180205_Poo_Sept29QC_2","Adenosine",15603935,139086,112.189113210532
"83","180205_Poo_Sept29QC_3","Adenosine",21942706,0,Inf
"84","180205_Poo_Sept29QC_4","Adenosine",16574434,156167,106.132755319626
"85","180205_Poo_TruePoo_Full1","Adenosine",64243916,692912,92.7158369316739
"86","180205_Poo_TruePoo_Full2","Adenosine",45978632,522788,87.9489047185475
"87","180205_Poo_TruePoo_Full3","Adenosine",68006808,519493,130.909960288204
"88","180205_Poo_TruePoo_Half1","Adenosine",32190434,102236,314.863981376423
"89","180205_Poo_TruePoo_Half2","Adenosine",21593426,0,Inf
"90","180205_Poo_TruePoo_Half3","Adenosine",32406618,91859,352.786531532022
"91","180205_Smp_L1C32DCMless10m_A","Adenosine",28007420,250352,111.872163993098
"92","180205_Smp_L1C32DCMless10m_B","Adenosine",36780480,522971,70.3298653271405
"93","180205_Smp_L1C32DCMless10m_C","Adenosine",73620704,556649,132.256959053192
"94","180205_Smp_L1C32DCMless20m_A","Adenosine",32175010,224727,143.173761942268
"95","180205_Smp_L1C32DCMless20m_B","Adenosine",102299608,1327855,77.0412492327852
"96","180205_Smp_L1C32DCMless20m_C","Adenosine",87841472,970693,90.4935669671049
"97","180205_Smp_L1C33DCM_A","Adenosine",41658252,123647,336.912759711113
"98","180205_Smp_L1C33DCM_B","Adenosine",74559520,793537,93.9584669649934
"99","180205_Smp_L1C33DCM_C","Adenosine",51309352,641855,79.939163829837
"100","180205_Smp_L1C33DCMplus10m_A","Adenosine",55034296,491972,111.864691486507
"101","180205_Smp_L1C33DCMplus10m_B","Adenosine",68861144,682578,100.88391949345
"102","180205_Smp_L1C33DCMplus10m_C","Adenosine",69587616,787659,88.3473889081443
"103","180205_Smp_L1C33DCMplus20m_A","Adenosine",27965544,227771,122.779212454615
"104","180205_Smp_L1C33DCMplus20m_B","Adenosine",21031906,0,Inf
"105","180205_Smp_L1C33DCMplus20m_C","Adenosine",40048136,41791,958.295709602546
"106","180205_Smp_L2C1DCMless10m_A","Adenosine",46452880,675517,68.7664115040776
"107","180205_Smp_L2C1DCMless10m_B","Adenosine",47253884,620849,76.111717986177
"108","180205_Smp_L2C1DCMless10m_C","Adenosine",65142260,734196,88.7259805283603
"109","180205_Smp_L2C1DCMless20m_A","Adenosine",99894936,1468166,68.0406275584641
"110","180205_Smp_L2C1DCMless20m_B","Adenosine",77731592,1002949,77.5030355481685
"111","180205_Smp_L2C1DCMless20m_C","Adenosine",45945580,42487,1081.40325275967
"112","180205_Smp_L2C2DCM_A","Adenosine",39377304,159297,247.194259778904
"113","180205_Smp_L2C2DCM_B","Adenosine",80123408,1070628,74.8377662456054
"114","180205_Smp_L2C2DCM_C","Adenosine",55544772,699377,79.4203584046945
"115","180205_Smp_L2C2DCMplus10m_A","Adenosine",31627736,442717,71.4400757142825
"116","180205_Smp_L2C2DCMplus10m_B","Adenosine",32087880,230893,138.972944177606
"117","180205_Smp_L2C2DCMplus10m_C","Adenosine",29488994,19579,1506.15424689719
"118","180205_Smp_L2C2DCMplus20m_A","Adenosine",31016354,125807,246.539175085647
"119","180205_Smp_L2C2DCMplus20m_B","Adenosine",26702470,122769,217.501730892978
"120","180205_Smp_L2C2DCMplus20m_C","Adenosine",26180198,2749,9523.53510367406
"121","180205_Poo_Sept29QC_1","S-Adenosylhomocysteine",658774,0,Inf
"122","180205_Poo_Sept29QC_2","S-Adenosylhomocysteine",4914,0,Inf
"123","180205_Poo_Sept29QC_3","S-Adenosylhomocysteine",4827,0,Inf
"124","180205_Poo_Sept29QC_4","S-Adenosylhomocysteine",5935,0,Inf
"125","180205_Poo_TruePoo_Full1","S-Adenosylhomocysteine",990184,0,Inf
"126","180205_Poo_TruePoo_Full2","S-Adenosylhomocysteine",5095,0,Inf
"127","180205_Poo_TruePoo_Full3","S-Adenosylhomocysteine",10240,0,Inf
"128","180205_Poo_TruePoo_Half1","S-Adenosylhomocysteine",5701,0,Inf
"129","180205_Poo_TruePoo_Half2","S-Adenosylhomocysteine",NA,NA,NA
"130","180205_Poo_TruePoo_Half3","S-Adenosylhomocysteine",5273,0,Inf
"131","180205_Smp_L1C32DCMless10m_A","S-Adenosylhomocysteine",400008,0,Inf
"132","180205_Smp_L1C32DCMless10m_B","S-Adenosylhomocysteine",6062,0,Inf
"133","180205_Smp_L1C32DCMless10m_C","S-Adenosylhomocysteine",5760,0,Inf
"134","180205_Smp_L1C32DCMless20m_A","S-Adenosylhomocysteine",8464,0,Inf
"135","180205_Smp_L1C32DCMless20m_B","S-Adenosylhomocysteine",16480,0,Inf
"136","180205_Smp_L1C32DCMless20m_C","S-Adenosylhomocysteine",8097,0,Inf
"137","180205_Smp_L1C33DCM_A","S-Adenosylhomocysteine",6245,0,Inf
"138","180205_Smp_L1C33DCM_B","S-Adenosylhomocysteine",10981,0,Inf
"139","180205_Smp_L1C33DCM_C","S-Adenosylhomocysteine",8408,0,Inf
"140","180205_Smp_L1C33DCMplus10m_A","S-Adenosylhomocysteine",1000562,0,Inf
"141","180205_Smp_L1C33DCMplus10m_B","S-Adenosylhomocysteine",5733,0,Inf
"142","180205_Smp_L1C33DCMplus10m_C","S-Adenosylhomocysteine",14020,0,Inf
"143","180205_Smp_L1C33DCMplus20m_A","S-Adenosylhomocysteine",NA,NA,NA
"144","180205_Smp_L1C33DCMplus20m_B","S-Adenosylhomocysteine",4949,0,Inf
"145","180205_Smp_L1C33DCMplus20m_C","S-Adenosylhomocysteine",16947,0,Inf
"146","180205_Smp_L2C1DCMless10m_A","S-Adenosylhomocysteine",NA,NA,NA
"147","180205_Smp_L2C1DCMless10m_B","S-Adenosylhomocysteine",7597,0,Inf
"148","180205_Smp_L2C1DCMless10m_C","S-Adenosylhomocysteine",6940,0,Inf
"149","180205_Smp_L2C1DCMless20m_A","S-Adenosylhomocysteine",1040554,0,Inf
"150","180205_Smp_L2C1DCMless20m_B","S-Adenosylhomocysteine",4755,0,Inf
"151","180205_Smp_L2C1DCMless20m_C","S-Adenosylhomocysteine",7056,0,Inf
"152","180205_Smp_L2C2DCM_A","S-Adenosylhomocysteine",4205,0,Inf
"153","180205_Smp_L2C2DCM_B","S-Adenosylhomocysteine",10628,0,Inf
"154","180205_Smp_L2C2DCM_C","S-Adenosylhomocysteine",8782,0,Inf
"155","180205_Smp_L2C2DCMplus10m_A","S-Adenosylhomocysteine",477723,0,Inf
"156","180205_Smp_L2C2DCMplus10m_B","S-Adenosylhomocysteine",NA,NA,NA
"157","180205_Smp_L2C2DCMplus10m_C","S-Adenosylhomocysteine",7034,0,Inf
"158","180205_Smp_L2C2DCMplus20m_A","S-Adenosylhomocysteine",886770,0,Inf
"159","180205_Smp_L2C2DCMplus20m_B","S-Adenosylhomocysteine",6997,0,Inf
"160","180205_Smp_L2C2DCMplus20m_C","S-Adenosylhomocysteine",7584,0,Inf
"161","180205_Poo_Sept29QC_1","S-Adenosylmethionine",3051960,0,Inf
"162","180205_Poo_Sept29QC_2","S-Adenosylmethionine",21427,0,Inf
"163","180205_Poo_Sept29QC_3","S-Adenosylmethionine",38822,0,Inf
"164","180205_Poo_Sept29QC_4","S-Adenosylmethionine",7231,0,Inf
"165","180205_Poo_TruePoo_Full1","S-Adenosylmethionine",2626855,24629,106.656989727557
"166","180205_Poo_TruePoo_Full2","S-Adenosylmethionine",26073,0,Inf
"167","180205_Poo_TruePoo_Full3","S-Adenosylmethionine",34417,0,Inf
"168","180205_Poo_TruePoo_Half1","S-Adenosylmethionine",1234020,0,Inf
"169","180205_Poo_TruePoo_Half2","S-Adenosylmethionine",18651,0,Inf
"170","180205_Poo_TruePoo_Half3","S-Adenosylmethionine",8625,0,Inf
"171","180205_Smp_L1C32DCMless10m_A","S-Adenosylmethionine",3135676,0,Inf
"172","180205_Smp_L1C32DCMless10m_B","S-Adenosylmethionine",76630,0,Inf
"173","180205_Smp_L1C32DCMless10m_C","S-Adenosylmethionine",156786,0,Inf
"174","180205_Smp_L1C32DCMless20m_A","S-Adenosylmethionine",189214,0,Inf
"175","180205_Smp_L1C32DCMless20m_B","S-Adenosylmethionine",113884,0,Inf
"176","180205_Smp_L1C32DCMless20m_C","S-Adenosylmethionine",236254,0,Inf
"177","180205_Smp_L1C33DCM_A","S-Adenosylmethionine",8130,0,Inf
"178","180205_Smp_L1C33DCM_B","S-Adenosylmethionine",128954,0,Inf
"179","180205_Smp_L1C33DCM_C","S-Adenosylmethionine",133374,0,Inf
"180","180205_Smp_L1C33DCMplus10m_A","S-Adenosylmethionine",3020405,0,Inf
"181","180205_Smp_L1C33DCMplus10m_B","S-Adenosylmethionine",41414,0,Inf
"182","180205_Smp_L1C33DCMplus10m_C","S-Adenosylmethionine",83597,0,Inf
"183","180205_Smp_L1C33DCMplus20m_A","S-Adenosylmethionine",15460,0,Inf
"184","180205_Smp_L1C33DCMplus20m_B","S-Adenosylmethionine",685567,0,Inf
"185","180205_Smp_L1C33DCMplus20m_C","S-Adenosylmethionine",712685,0,Inf
"186","180205_Smp_L2C1DCMless10m_A","S-Adenosylmethionine",8161,0,Inf
"187","180205_Smp_L2C1DCMless10m_B","S-Adenosylmethionine",17312,0,Inf
"188","180205_Smp_L2C1DCMless10m_C","S-Adenosylmethionine",56208,0,Inf
"189","180205_Smp_L2C1DCMless20m_A","S-Adenosylmethionine",4070390,0,Inf
"190","180205_Smp_L2C1DCMless20m_B","S-Adenosylmethionine",116883,0,Inf
"191","180205_Smp_L2C1DCMless20m_C","S-Adenosylmethionine",104130,0,Inf
"192","180205_Smp_L2C2DCM_A","S-Adenosylmethionine",30929,0,Inf
"193","180205_Smp_L2C2DCM_B","S-Adenosylmethionine",51207,0,Inf
"194","180205_Smp_L2C2DCM_C","S-Adenosylmethionine",44993,0,Inf
"195","180205_Smp_L2C2DCMplus10m_A","S-Adenosylmethionine",1750994,0,Inf
"196","180205_Smp_L2C2DCMplus10m_B","S-Adenosylmethionine",11914,0,Inf
"197","180205_Smp_L2C2DCMplus10m_C","S-Adenosylmethionine",21079,0,Inf
"198","180205_Smp_L2C2DCMplus20m_A","S-Adenosylmethionine",1405363,0,Inf
"199","180205_Smp_L2C2DCMplus20m_B","S-Adenosylmethionine",22610,0,Inf
"200","180205_Smp_L2C2DCMplus20m_C","S-Adenosylmethionine",8433,0,Inf
"201","180205_Poo_Sept29QC_1","L-Alanine",6629083,303124,21.8692119396683
"202","180205_Poo_Sept29QC_2","L-Alanine",1362274,268550,5.07270154533606
"203","180205_Poo_Sept29QC_3","L-Alanine",956222,299990,3.18751291709724
"204","180205_Poo_Sept29QC_4","L-Alanine",1730645,28291,61.172987876003
"205","180205_Poo_TruePoo_Full1","L-Alanine",9161359,415571,22.0452317413872
"206","180205_Poo_TruePoo_Full2","L-Alanine",1917366,392170,4.88911951449626
"207","180205_Poo_TruePoo_Full3","L-Alanine",935432,355605,2.63053669099141
"208","180205_Poo_TruePoo_Half1","L-Alanine",6404440,403070,15.8891507678567
"209","180205_Poo_TruePoo_Half2","L-Alanine",2545743,450380,5.65243350059949
"210","180205_Poo_TruePoo_Half3","L-Alanine",2289286,543272,4.21388549382262
"211","180205_Smp_L1C32DCMless10m_A","L-Alanine",5745780,1126134,5.10221696529898
"212","180205_Smp_L1C32DCMless10m_B","L-Alanine",2061926,432910,4.76294379894204
"213","180205_Smp_L1C32DCMless10m_C","L-Alanine",1876238,555411,3.3781073835412
"214","180205_Smp_L1C32DCMless20m_A","L-Alanine",3027177,626904,4.82877282646147
"215","180205_Smp_L1C32DCMless20m_B","L-Alanine",3029131,571295,5.30221864360794
"216","180205_Smp_L1C32DCMless20m_C","L-Alanine",2676672,595295,4.49637910615745
"217","180205_Smp_L1C33DCM_A","L-Alanine",2873920,473906,6.06432499272008
"218","180205_Smp_L1C33DCM_B","L-Alanine",3407474,1116208,3.05272314837378
"219","180205_Smp_L1C33DCM_C","L-Alanine",975525,476365,2.04785196225583
"220","180205_Smp_L1C33DCMplus10m_A","L-Alanine",9106207,1502773,6.05960248154578
"221","180205_Smp_L1C33DCMplus10m_B","L-Alanine",2474904,870452,2.84324006378295
"222","180205_Smp_L1C33DCMplus10m_C","L-Alanine",1818553,511372,3.55622325821515
"223","180205_Smp_L1C33DCMplus20m_A","L-Alanine",2212800,499006,4.43441561824908
"224","180205_Smp_L1C33DCMplus20m_B","L-Alanine",1706940,430325,3.96662987277058
"225","180205_Smp_L1C33DCMplus20m_C","L-Alanine",1472288,641638,2.2945773161814
"226","180205_Smp_L2C1DCMless10m_A","L-Alanine",1764109,390183,4.52123490772279
"227","180205_Smp_L2C1DCMless10m_B","L-Alanine",1687096,367814,4.58681833752929
"228","180205_Smp_L2C1DCMless10m_C","L-Alanine",752422,353208,2.13025186292496
"229","180205_Smp_L2C1DCMless20m_A","L-Alanine",5929858,440416,13.4642201918186
"230","180205_Smp_L2C1DCMless20m_B","L-Alanine",1437785,351987,4.08476733515726
"231","180205_Smp_L2C1DCMless20m_C","L-Alanine",678562,334428,2.02902268948772
"232","180205_Smp_L2C2DCM_A","L-Alanine",2545939,415710,6.12431502730269
"233","180205_Smp_L2C2DCM_B","L-Alanine",2621687,714095,3.6713420483269
"234","180205_Smp_L2C2DCM_C","L-Alanine",1262220,389189,3.24320574322501
"235","180205_Smp_L2C2DCMplus10m_A","L-Alanine",3790278,578491,6.55200858786049
"236","180205_Smp_L2C2DCMplus10m_B","L-Alanine",1423359,500795,2.84219890374305
"237","180205_Smp_L2C2DCMplus10m_C","L-Alanine",705746,518799,1.36034572156076
"238","180205_Smp_L2C2DCMplus20m_A","L-Alanine",4094450,319033,12.833938808838
"239","180205_Smp_L2C2DCMplus20m_B","L-Alanine",1046533,369104,2.83533367289436
"240","180205_Smp_L2C2DCMplus20m_C","L-Alanine",412616,943163,0.437481114081023
"241","180205_Poo_Sept29QC_1","4-Aminobutyric acid",13974049,40797400,0.342523028428282
"242","180205_Poo_Sept29QC_2","4-Aminobutyric acid",60484544,5452750,11.0924843427628
"243","180205_Poo_Sept29QC_3","4-Aminobutyric acid",54333212,4758682,11.4177017922189
"244","180205_Poo_Sept29QC_4","4-Aminobutyric acid",55300796,4661660,11.8628977660318
"245","180205_Poo_TruePoo_Full1","4-Aminobutyric acid",132676488,10949103,12.117566891096
"246","180205_Poo_TruePoo_Full2","4-Aminobutyric acid",33969472,2807563,12.0992732843395
"247","180205_Poo_TruePoo_Full3","4-Aminobutyric acid",46050824,4101219,11.2285698471601
"248","180205_Poo_TruePoo_Half1","4-Aminobutyric acid",105656848,41855540,2.52432170269455
"249","180205_Poo_TruePoo_Half2","4-Aminobutyric acid",7486730,47656676,0.157097192426933
"250","180205_Poo_TruePoo_Half3","4-Aminobutyric acid",33935660,31647932,1.072286808503
"251","180205_Smp_L1C32DCMless10m_A","4-Aminobutyric acid",96252992,9470301,10.1636676595601
"252","180205_Smp_L1C32DCMless10m_B","4-Aminobutyric acid",48131408,3685576,13.0593991278432
"253","180205_Smp_L1C32DCMless10m_C","4-Aminobutyric acid",57456408,6308889,9.10721491533612
"254","180205_Smp_L1C32DCMless20m_A","4-Aminobutyric acid",50231396,5616478,8.94357567144392
"255","180205_Smp_L1C32DCMless20m_B","4-Aminobutyric acid",51590576,3697248,13.9537775123551
"256","180205_Smp_L1C32DCMless20m_C","4-Aminobutyric acid",41028696,2259297,18.1599391315086
"257","180205_Smp_L1C33DCM_A","4-Aminobutyric acid",58305768,6988679,8.34288826257437
"258","180205_Smp_L1C33DCM_B","4-Aminobutyric acid",47531920,4521327,10.5128251064345
"259","180205_Smp_L1C33DCM_C","4-Aminobutyric acid",83188056,8133713,10.2275622461722
"260","180205_Smp_L1C33DCMplus10m_A","4-Aminobutyric acid",130492624,13994674,9.32444900109856
"261","180205_Smp_L1C33DCMplus10m_B","4-Aminobutyric acid",37981664,3290271,11.5436278653035
"262","180205_Smp_L1C33DCMplus10m_C","4-Aminobutyric acid",40204012,3349070,12.0045302128651
"263","180205_Smp_L1C33DCMplus20m_A","4-Aminobutyric acid",55679932,5747656,9.68741553078333
"264","180205_Smp_L1C33DCMplus20m_B","4-Aminobutyric acid",65481296,6485912,10.0959272959608
"265","180205_Smp_L1C33DCMplus20m_C","4-Aminobutyric acid",37482948,3095252,12.1098211066498
"266","180205_Smp_L2C1DCMless10m_A","4-Aminobutyric acid",32977828,4144597,7.95682378769275
"267","180205_Smp_L2C1DCMless10m_B","4-Aminobutyric acid",47501536,2960829,16.0433230017674
"268","180205_Smp_L2C1DCMless10m_C","4-Aminobutyric acid",81442832,8677720,9.38528000442513
"269","180205_Smp_L2C1DCMless20m_A","4-Aminobutyric acid",132268816,11668570,11.3354777834816
"270","180205_Smp_L2C1DCMless20m_B","4-Aminobutyric acid",43999512,5321303,8.26855978695444
"271","180205_Smp_L2C1DCMless20m_C","4-Aminobutyric acid",77208976,10713040,7.20700902824968
"272","180205_Smp_L2C2DCM_A","4-Aminobutyric acid",59548236,8056065,7.39172735075996
"273","180205_Smp_L2C2DCM_B","4-Aminobutyric acid",54417020,5755304,9.45510784486797
"274","180205_Smp_L2C2DCM_C","4-Aminobutyric acid",63486144,7514770,8.44818191375119
"275","180205_Smp_L2C2DCMplus10m_A","4-Aminobutyric acid",117817320,15091704,7.80676058846635
"276","180205_Smp_L2C2DCMplus10m_B","4-Aminobutyric acid",42307988,8529747,4.96005192182136
"277","180205_Smp_L2C2DCMplus10m_C","4-Aminobutyric acid",45673908,15652057,2.91807702974759
"278","180205_Smp_L2C2DCMplus20m_A","4-Aminobutyric acid",110041624,8846940,12.4383825367867
"279","180205_Smp_L2C2DCMplus20m_B","4-Aminobutyric acid",45446876,4927342,9.22340604731719
"280","180205_Smp_L2C2DCMplus20m_C","4-Aminobutyric acid",65663640,24161710,2.71767354214582
"281","180205_Poo_Sept29QC_1","L-Arginine",19046150,0,Inf
"282","180205_Poo_Sept29QC_2","L-Arginine",7467988,0,Inf
"283","180205_Poo_Sept29QC_3","L-Arginine",7768371,0,Inf
"284","180205_Poo_Sept29QC_4","L-Arginine",7350234,0,Inf
"285","180205_Poo_TruePoo_Full1","L-Arginine",44926412,668167,67.2382982098787
"286","180205_Poo_TruePoo_Full2","L-Arginine",16654542,0,Inf
"287","180205_Poo_TruePoo_Full3","L-Arginine",19529606,0,Inf
"288","180205_Poo_TruePoo_Half1","L-Arginine",41861372,556851,75.1751761243133
"289","180205_Poo_TruePoo_Half2","L-Arginine",9819709,0,Inf
"290","180205_Poo_TruePoo_Half3","L-Arginine",9695782,0,Inf
"291","180205_Smp_L1C32DCMless10m_A","L-Arginine",48840524,383741,127.27470872281
"292","180205_Smp_L1C32DCMless10m_B","L-Arginine",23326976,0,Inf
"293","180205_Smp_L1C32DCMless10m_C","L-Arginine",31845466,0,Inf
"294","180205_Smp_L1C32DCMless20m_A","L-Arginine",20283714,0,Inf
"295","180205_Smp_L1C32DCMless20m_B","L-Arginine",62645376,97401,643.169741583762
"296","180205_Smp_L1C32DCMless20m_C","L-Arginine",52599600,188657,278.810751787636
"297","180205_Smp_L1C33DCM_A","L-Arginine",24727886,149766,165.110145159783
"298","180205_Smp_L1C33DCM_B","L-Arginine",50858044,773532,65.7478216802925
"299","180205_Smp_L1C33DCM_C","L-Arginine",20777196,0,Inf
"300","180205_Smp_L1C33DCMplus10m_A","L-Arginine",61869228,738450,83.7825553524274
"301","180205_Smp_L1C33DCMplus10m_B","L-Arginine",33642068,0,Inf
"302","180205_Smp_L1C33DCMplus10m_C","L-Arginine",29553550,0,Inf
"303","180205_Smp_L1C33DCMplus20m_A","L-Arginine",24838312,0,Inf
"304","180205_Smp_L1C33DCMplus20m_B","L-Arginine",15340853,0,Inf
"305","180205_Smp_L1C33DCMplus20m_C","L-Arginine",22597302,0,Inf
"306","180205_Smp_L2C1DCMless10m_A","L-Arginine",20098020,0,Inf
"307","180205_Smp_L2C1DCMless10m_B","L-Arginine",14642741,0,Inf
"308","180205_Smp_L2C1DCMless10m_C","L-Arginine",14960076,0,Inf
"309","180205_Smp_L2C1DCMless20m_A","L-Arginine",33491108,278905,120.080701314068
"310","180205_Smp_L2C1DCMless20m_B","L-Arginine",14298138,59044,242.160727592982
"311","180205_Smp_L2C1DCMless20m_C","L-Arginine",8907223,0,Inf
