"","Replicate.Name","Precursor.Ion.Name","Height"
"71","180205_Smp_L2C1DCMless20m_C","Adenine",7562207
"72","180205_Smp_L2C2DCM_A","Adenine",7141646
"73","180205_Smp_L2C2DCM_B","Adenine",7031070
"74","180205_Smp_L2C2DCM_C","Adenine",7709578
"75","180205_Smp_L2C2DCMplus10m_A","Adenine",12792403
"76","180205_Smp_L2C2DCMplus10m_B","Adenine",6539073
"77","180205_Smp_L2C2DCMplus10m_C","Adenine",5666197
"78","180205_Smp_L2C2DCMplus20m_A","Adenine",6170079
"79","180205_Smp_L2C2DCMplus20m_B","Adenine",5390975
"80","180205_Smp_L2C2DCMplus20m_C","Adenine",4380416
"81","180205_Poo_Sept29QC_1","Adenosine",957134
"82","180205_Poo_Sept29QC_2","Adenosine",551907
"83","180205_Poo_Sept29QC_3","Adenosine",845517
"84","180205_Poo_Sept29QC_4","Adenosine",608890
"85","180205_Poo_TruePoo_Full1","Adenosine",2334515
"86","180205_Poo_TruePoo_Full2","Adenosine",1743004
"87","180205_Poo_TruePoo_Full3","Adenosine",2408897
"88","180205_Poo_TruePoo_Half1","Adenosine",1071085
"89","180205_Poo_TruePoo_Half2","Adenosine",716218
"90","180205_Poo_TruePoo_Half3","Adenosine",1120529
"91","180205_Smp_L1C32DCMless10m_A","Adenosine",1058096
"92","180205_Smp_L1C32DCMless10m_B","Adenosine",1313687
"93","180205_Smp_L1C32DCMless10m_C","Adenosine",2668529
"94","180205_Smp_L1C32DCMless20m_A","Adenosine",1223377
"95","180205_Smp_L1C32DCMless20m_B","Adenosine",3988882
"96","180205_Smp_L1C32DCMless20m_C","Adenosine",3083759
"97","180205_Smp_L1C33DCM_A","Adenosine",1449329
"98","180205_Smp_L1C33DCM_B","Adenosine",2714178
"99","180205_Smp_L1C33DCM_C","Adenosine",1919654
"100","180205_Smp_L1C33DCMplus10m_A","Adenosine",2005279
"101","180205_Smp_L1C33DCMplus10m_B","Adenosine",2397023
"102","180205_Smp_L1C33DCMplus10m_C","Adenosine",2392145
"103","180205_Smp_L1C33DCMplus20m_A","Adenosine",1053670
"104","180205_Smp_L1C33DCMplus20m_B","Adenosine",755988
"105","180205_Smp_L1C33DCMplus20m_C","Adenosine",1498733
"106","180205_Smp_L2C1DCMless10m_A","Adenosine",1877536
"107","180205_Smp_L2C1DCMless10m_B","Adenosine",1815733
"108","180205_Smp_L2C1DCMless10m_C","Adenosine",2227726
"109","180205_Smp_L2C1DCMless20m_A","Adenosine",3608184
"110","180205_Smp_L2C1DCMless20m_B","Adenosine",2600117
"111","180205_Smp_L2C1DCMless20m_C","Adenosine",1676688
"112","180205_Smp_L2C2DCM_A","Adenosine",1477772
"113","180205_Smp_L2C2DCM_B","Adenosine",2940155
"114","180205_Smp_L2C2DCM_C","Adenosine",1927447
"115","180205_Smp_L2C2DCMplus10m_A","Adenosine",1190549
"116","180205_Smp_L2C2DCMplus10m_B","Adenosine",1121824
"117","180205_Smp_L2C2DCMplus10m_C","Adenosine",1056612
"118","180205_Smp_L2C2DCMplus20m_A","Adenosine",1120085
"119","180205_Smp_L2C2DCMplus20m_B","Adenosine",968017
"120","180205_Smp_L2C2DCMplus20m_C","Adenosine",896016
"121","180205_Poo_Sept29QC_1","S-Adenosylhomocysteine",57244
"122","180205_Poo_Sept29QC_2","S-Adenosylhomocysteine",4663
"123","180205_Poo_Sept29QC_3","S-Adenosylhomocysteine",4470
"124","180205_Poo_Sept29QC_4","S-Adenosylhomocysteine",3986
"125","180205_Poo_TruePoo_Full1","S-Adenosylhomocysteine",75793
"126","180205_Poo_TruePoo_Full2","S-Adenosylhomocysteine",5178
"127","180205_Poo_TruePoo_Full3","S-Adenosylhomocysteine",7984
"128","180205_Poo_TruePoo_Half1","S-Adenosylhomocysteine",4250
"129","180205_Poo_TruePoo_Half2","S-Adenosylhomocysteine",NA
"130","180205_Poo_TruePoo_Half3","S-Adenosylhomocysteine",2979
"131","180205_Smp_L1C32DCMless10m_A","S-Adenosylhomocysteine",33015
"132","180205_Smp_L1C32DCMless10m_B","S-Adenosylhomocysteine",4458
"133","180205_Smp_L1C32DCMless10m_C","S-Adenosylhomocysteine",4671
"134","180205_Smp_L1C32DCMless20m_A","S-Adenosylhomocysteine",6692
"135","180205_Smp_L1C32DCMless20m_B","S-Adenosylhomocysteine",7718
"136","180205_Smp_L1C32DCMless20m_C","S-Adenosylhomocysteine",7883
"137","180205_Smp_L1C33DCM_A","S-Adenosylhomocysteine",4960
"138","180205_Smp_L1C33DCM_B","S-Adenosylhomocysteine",9953
"139","180205_Smp_L1C33DCM_C","S-Adenosylhomocysteine",4714
"140","180205_Smp_L1C33DCMplus10m_A","S-Adenosylhomocysteine",61399
"141","180205_Smp_L1C33DCMplus10m_B","S-Adenosylhomocysteine",5278
"142","180205_Smp_L1C33DCMplus10m_C","S-Adenosylhomocysteine",13895
"143","180205_Smp_L1C33DCMplus20m_A","S-Adenosylhomocysteine",NA
"144","180205_Smp_L1C33DCMplus20m_B","S-Adenosylhomocysteine",3177
"145","180205_Smp_L1C33DCMplus20m_C","S-Adenosylhomocysteine",6215
"146","180205_Smp_L2C1DCMless10m_A","S-Adenosylhomocysteine",NA
"147","180205_Smp_L2C1DCMless10m_B","S-Adenosylhomocysteine",6031
"148","180205_Smp_L2C1DCMless10m_C","S-Adenosylhomocysteine",3858
"149","180205_Smp_L2C1DCMless20m_A","S-Adenosylhomocysteine",83667
"150","180205_Smp_L2C1DCMless20m_B","S-Adenosylhomocysteine",3762
"151","180205_Smp_L2C1DCMless20m_C","S-Adenosylhomocysteine",4493
"152","180205_Smp_L2C2DCM_A","S-Adenosylhomocysteine",2623
"153","180205_Smp_L2C2DCM_B","S-Adenosylhomocysteine",6033
"154","180205_Smp_L2C2DCM_C","S-Adenosylhomocysteine",5518
"155","180205_Smp_L2C2DCMplus10m_A","S-Adenosylhomocysteine",43092
"156","180205_Smp_L2C2DCMplus10m_B","S-Adenosylhomocysteine",NA
"157","180205_Smp_L2C2DCMplus10m_C","S-Adenosylhomocysteine",7387
"158","180205_Smp_L2C2DCMplus20m_A","S-Adenosylhomocysteine",74447
"159","180205_Smp_L2C2DCMplus20m_B","S-Adenosylhomocysteine",6516
"160","180205_Smp_L2C2DCMplus20m_C","S-Adenosylhomocysteine",7474
"161","180205_Poo_Sept29QC_1","S-Adenosylmethionine",169834
"162","180205_Poo_Sept29QC_2","S-Adenosylmethionine",9475
"163","180205_Poo_Sept29QC_3","S-Adenosylmethionine",8916
"164","180205_Poo_Sept29QC_4","S-Adenosylmethionine",6973
"165","180205_Poo_TruePoo_Full1","S-Adenosylmethionine",161420
"166","180205_Poo_TruePoo_Full2","S-Adenosylmethionine",9442
"167","180205_Poo_TruePoo_Full3","S-Adenosylmethionine",8658
"168","180205_Poo_TruePoo_Half1","S-Adenosylmethionine",71889
"169","180205_Poo_TruePoo_Half2","S-Adenosylmethionine",9382
"170","180205_Poo_TruePoo_Half3","S-Adenosylmethionine",8450
"171","180205_Smp_L1C32DCMless10m_A","S-Adenosylmethionine",160878
"172","180205_Smp_L1C32DCMless10m_B","S-Adenosylmethionine",12769
"173","180205_Smp_L1C32DCMless10m_C","S-Adenosylmethionine",15495
"174","180205_Smp_L1C32DCMless20m_A","S-Adenosylmethionine",15647
"175","180205_Smp_L1C32DCMless20m_B","S-Adenosylmethionine",18638
"176","180205_Smp_L1C32DCMless20m_C","S-Adenosylmethionine",19020
"177","180205_Smp_L1C33DCM_A","S-Adenosylmethionine",4947
"178","180205_Smp_L1C33DCM_B","S-Adenosylmethionine",16054
"179","180205_Smp_L1C33DCM_C","S-Adenosylmethionine",14522
"180","180205_Smp_L1C33DCMplus10m_A","S-Adenosylmethionine",172462
"181","180205_Smp_L1C33DCMplus10m_B","S-Adenosylmethionine",11807
"182","180205_Smp_L1C33DCMplus10m_C","S-Adenosylmethionine",14003
"183","180205_Smp_L1C33DCMplus20m_A","S-Adenosylmethionine",7911
"184","180205_Smp_L1C33DCMplus20m_B","S-Adenosylmethionine",35848
"185","180205_Smp_L1C33DCMplus20m_C","S-Adenosylmethionine",36008
"186","180205_Smp_L2C1DCMless10m_A","S-Adenosylmethionine",5743
"187","180205_Smp_L2C1DCMless10m_B","S-Adenosylmethionine",9242
"188","180205_Smp_L2C1DCMless10m_C","S-Adenosylmethionine",10571
"189","180205_Smp_L2C1DCMless20m_A","S-Adenosylmethionine",236270
"190","180205_Smp_L2C1DCMless20m_B","S-Adenosylmethionine",15880
"191","180205_Smp_L2C1DCMless20m_C","S-Adenosylmethionine",12244
"192","180205_Smp_L2C2DCM_A","S-Adenosylmethionine",8279
"193","180205_Smp_L2C2DCM_B","S-Adenosylmethionine",12714
"194","180205_Smp_L2C2DCM_C","S-Adenosylmethionine",10571
"195","180205_Smp_L2C2DCMplus10m_A","S-Adenosylmethionine",99792
"196","180205_Smp_L2C2DCMplus10m_B","S-Adenosylmethionine",7410
"197","180205_Smp_L2C2DCMplus10m_C","S-Adenosylmethionine",7562
"198","180205_Smp_L2C2DCMplus20m_A","S-Adenosylmethionine",80659
"199","180205_Smp_L2C2DCMplus20m_B","S-Adenosylmethionine",8464
"200","180205_Smp_L2C2DCMplus20m_C","S-Adenosylmethionine",7187
"201","180205_Poo_Sept29QC_1","L-Alanine",717754
"202","180205_Poo_Sept29QC_2","L-Alanine",144785
"203","180205_Poo_Sept29QC_3","L-Alanine",100262
"204","180205_Poo_Sept29QC_4","L-Alanine",161935
"205","180205_Poo_TruePoo_Full1","L-Alanine",952238
"206","180205_Poo_TruePoo_Full2","L-Alanine",213176
"207","180205_Poo_TruePoo_Full3","L-Alanine",107976
"208","180205_Poo_TruePoo_Half1","L-Alanine",525562
"209","180205_Poo_TruePoo_Half2","L-Alanine",221777
"210","180205_Poo_TruePoo_Half3","L-Alanine",215658
"211","180205_Smp_L1C32DCMless10m_A","L-Alanine",758037
"212","180205_Smp_L1C32DCMless10m_B","L-Alanine",233111
"213","180205_Smp_L1C32DCMless10m_C","L-Alanine",254151
"214","180205_Smp_L1C32DCMless20m_A","L-Alanine",339474
"215","180205_Smp_L1C32DCMless20m_B","L-Alanine",372906
"216","180205_Smp_L1C32DCMless20m_C","L-Alanine",316411
"217","180205_Smp_L1C33DCM_A","L-Alanine",291468
"218","180205_Smp_L1C33DCM_B","L-Alanine",446540
"219","180205_Smp_L1C33DCM_C","L-Alanine",121270
"220","180205_Smp_L1C33DCMplus10m_A","L-Alanine",1155013
"221","180205_Smp_L1C33DCMplus10m_B","L-Alanine",301276
"222","180205_Smp_L1C33DCMplus10m_C","L-Alanine",209860
"223","180205_Smp_L1C33DCMplus20m_A","L-Alanine",246353
"224","180205_Smp_L1C33DCMplus20m_B","L-Alanine",248109
"225","180205_Smp_L1C33DCMplus20m_C","L-Alanine",180580
"226","180205_Smp_L2C1DCMless10m_A","L-Alanine",198476
"227","180205_Smp_L2C1DCMless10m_B","L-Alanine",178716
"228","180205_Smp_L2C1DCMless10m_C","L-Alanine",91338
"229","180205_Smp_L2C1DCMless20m_A","L-Alanine",654315
"230","180205_Smp_L2C1DCMless20m_B","L-Alanine",152899
"231","180205_Smp_L2C1DCMless20m_C","L-Alanine",87401
"232","180205_Smp_L2C2DCM_A","L-Alanine",287146
"233","180205_Smp_L2C2DCM_B","L-Alanine",339945
"234","180205_Smp_L2C2DCM_C","L-Alanine",142959
"235","180205_Smp_L2C2DCMplus10m_A","L-Alanine",472808
"236","180205_Smp_L2C2DCMplus10m_B","L-Alanine",190701
"237","180205_Smp_L2C2DCMplus10m_C","L-Alanine",108048
"238","180205_Smp_L2C2DCMplus20m_A","L-Alanine",498957
"239","180205_Smp_L2C2DCMplus20m_B","L-Alanine",131320
"240","180205_Smp_L2C2DCMplus20m_C","L-Alanine",58057
"241","180205_Poo_Sept29QC_1","4-Aminobutyric acid",650278
"242","180205_Poo_Sept29QC_2","4-Aminobutyric acid",827584
"243","180205_Poo_Sept29QC_3","4-Aminobutyric acid",902191
"244","180205_Poo_Sept29QC_4","4-Aminobutyric acid",743527
"245","180205_Poo_TruePoo_Full1","4-Aminobutyric acid",1223583
"246","180205_Poo_TruePoo_Full2","4-Aminobutyric acid",689085
"247","180205_Poo_TruePoo_Full3","4-Aminobutyric acid",870244
"248","180205_Poo_TruePoo_Half1","4-Aminobutyric acid",912436
"249","180205_Poo_TruePoo_Half2","4-Aminobutyric acid",221527
"250","180205_Poo_TruePoo_Half3","4-Aminobutyric acid",478904
"251","180205_Smp_L1C32DCMless10m_A","4-Aminobutyric acid",1098954
"252","180205_Smp_L1C32DCMless10m_B","4-Aminobutyric acid",785486
"253","180205_Smp_L1C32DCMless10m_C","4-Aminobutyric acid",886026
"254","180205_Smp_L1C32DCMless20m_A","4-Aminobutyric acid",783177
"255","180205_Smp_L1C32DCMless20m_B","4-Aminobutyric acid",901330
"256","180205_Smp_L1C32DCMless20m_C","4-Aminobutyric acid",1252317
"257","180205_Smp_L1C33DCM_A","4-Aminobutyric acid",736758
"258","180205_Smp_L1C33DCM_B","4-Aminobutyric acid",950256
"259","180205_Smp_L1C33DCM_C","4-Aminobutyric acid",810237
"260","180205_Smp_L1C33DCMplus10m_A","4-Aminobutyric acid",1449150
"261","180205_Smp_L1C33DCMplus10m_B","4-Aminobutyric acid",1013433
"262","180205_Smp_L1C33DCMplus10m_C","4-Aminobutyric acid",938743
"263","180205_Smp_L1C33DCMplus20m_A","4-Aminobutyric acid",833391
"264","180205_Smp_L1C33DCMplus20m_B","4-Aminobutyric acid",749242
"265","180205_Smp_L1C33DCMplus20m_C","4-Aminobutyric acid",948178
"266","180205_Smp_L2C1DCMless10m_A","4-Aminobutyric acid",670210
"267","180205_Smp_L2C1DCMless10m_B","4-Aminobutyric acid",795795
"268","180205_Smp_L2C1DCMless10m_C","4-Aminobutyric acid",712954
"269","180205_Smp_L2C1DCMless20m_A","4-Aminobutyric acid",1196275
"270","180205_Smp_L2C1DCMless20m_B","4-Aminobutyric acid",681376
"271","180205_Smp_L2C1DCMless20m_C","4-Aminobutyric acid",677095
"272","180205_Smp_L2C2DCM_A","4-Aminobutyric acid",693944
"273","180205_Smp_L2C2DCM_B","4-Aminobutyric acid",959317
"274","180205_Smp_L2C2DCM_C","4-Aminobutyric acid",815715
"275","180205_Smp_L2C2DCMplus10m_A","4-Aminobutyric acid",983488
"276","180205_Smp_L2C2DCMplus10m_B","4-Aminobutyric acid",693589
"277","180205_Smp_L2C2DCMplus10m_C","4-Aminobutyric acid",649372
"278","180205_Smp_L2C2DCMplus20m_A","4-Aminobutyric acid",1142265
"279","180205_Smp_L2C2DCMplus20m_B","4-Aminobutyric acid",702153
"280","180205_Smp_L2C2DCMplus20m_C","4-Aminobutyric acid",573704
"281","180205_Poo_Sept29QC_1","L-Arginine",635027
"282","180205_Poo_Sept29QC_2","L-Arginine",221400
"283","180205_Poo_Sept29QC_3","L-Arginine",218741
"284","180205_Poo_Sept29QC_4","L-Arginine",199840
"285","180205_Poo_TruePoo_Full1","L-Arginine",1501326
"286","180205_Poo_TruePoo_Full2","L-Arginine",481951
"287","180205_Poo_TruePoo_Full3","L-Arginine",534017
"288","180205_Poo_TruePoo_Half1","L-Arginine",1483651
"289","180205_Poo_TruePoo_Half2","L-Arginine",315398
"290","180205_Poo_TruePoo_Half3","L-Arginine",297522
"291","180205_Smp_L1C32DCMless10m_A","L-Arginine",1242561
"292","180205_Smp_L1C32DCMless10m_B","L-Arginine",683439
"293","180205_Smp_L1C32DCMless10m_C","L-Arginine",864548
"294","180205_Smp_L1C32DCMless20m_A","L-Arginine",527202
"295","180205_Smp_L1C32DCMless20m_B","L-Arginine",1771535
"296","180205_Smp_L1C32DCMless20m_C","L-Arginine",1488280
"297","180205_Smp_L1C33DCM_A","L-Arginine",649993
"298","180205_Smp_L1C33DCM_B","L-Arginine",1438392
"299","180205_Smp_L1C33DCM_C","L-Arginine",580617
"300","180205_Smp_L1C33DCMplus10m_A","L-Arginine",1863471
"301","180205_Smp_L1C33DCMplus10m_B","L-Arginine",914807
"302","180205_Smp_L1C33DCMplus10m_C","L-Arginine",788190
"303","180205_Smp_L1C33DCMplus20m_A","L-Arginine",597821
"304","180205_Smp_L1C33DCMplus20m_B","L-Arginine",457674
"305","180205_Smp_L1C33DCMplus20m_C","L-Arginine",647524
"306","180205_Smp_L2C1DCMless10m_A","L-Arginine",525890
"307","180205_Smp_L2C1DCMless10m_B","L-Arginine",403131
"308","180205_Smp_L2C1DCMless10m_C","L-Arginine",394810
"309","180205_Smp_L2C1DCMless20m_A","L-Arginine",1027986
"310","180205_Smp_L2C1DCMless20m_B","L-Arginine",406705
"311","180205_Smp_L2C1DCMless20m_C","L-Arginine",273625
"312","180205_Smp_L2C2DCM_A","L-Arginine",357101
"313","180205_Smp_L2C2DCM_B","L-Arginine",1394213
"314","180205_Smp_L2C2DCM_C","L-Arginine",629012
"315","180205_Smp_L2C2DCMplus10m_A","L-Arginine",1114332
"316","180205_Smp_L2C2DCMplus10m_B","L-Arginine",609629
"317","180205_Smp_L2C2DCMplus10m_C","L-Arginine",524979
"318","180205_Smp_L2C2DCMplus20m_A","L-Arginine",629637
"319","180205_Smp_L2C2DCMplus20m_B","L-Arginine",456792
"320","180205_Smp_L2C2DCMplus20m_C","L-Arginine",311832
"321","180205_Poo_Sept29QC_1"," L-Arginosuccinic acid",7531
"322","180205_Poo_Sept29QC_2"," L-Arginosuccinic acid",NA
"323","180205_Poo_Sept29QC_3"," L-Arginosuccinic acid",5112
"324","180205_Poo_Sept29QC_4"," L-Arginosuccinic acid",4648
"325","180205_Poo_TruePoo_Full1"," L-Arginosuccinic acid",2782
"326","180205_Poo_TruePoo_Full2"," L-Arginosuccinic acid",NA
"327","180205_Poo_TruePoo_Full3"," L-Arginosuccinic acid",NA
"328","180205_Poo_TruePoo_Half1"," L-Arginosuccinic acid",3563
"329","180205_Poo_TruePoo_Half2"," L-Arginosuccinic acid",5581
"330","180205_Poo_TruePoo_Half3"," L-Arginosuccinic acid",NA
"331","180205_Smp_L1C32DCMless10m_A"," L-Arginosuccinic acid",3637
"332","180205_Smp_L1C32DCMless10m_B"," L-Arginosuccinic acid",NA
"333","180205_Smp_L1C32DCMless10m_C"," L-Arginosuccinic acid",3949
"334","180205_Smp_L1C32DCMless20m_A"," L-Arginosuccinic acid",2687
"335","180205_Smp_L1C32DCMless20m_B"," L-Arginosuccinic acid",4059
"336","180205_Smp_L1C32DCMless20m_C"," L-Arginosuccinic acid",3875
"337","180205_Smp_L1C33DCM_A"," L-Arginosuccinic acid",NA
"338","180205_Smp_L1C33DCM_B"," L-Arginosuccinic acid",NA
"339","180205_Smp_L1C33DCM_C"," L-Arginosuccinic acid",3596
"340","180205_Smp_L1C33DCMplus10m_A"," L-Arginosuccinic acid",4554
"341","180205_Smp_L1C33DCMplus10m_B"," L-Arginosuccinic acid",NA
"342","180205_Smp_L1C33DCMplus10m_C"," L-Arginosuccinic acid",3055
"343","180205_Smp_L1C33DCMplus20m_A"," L-Arginosuccinic acid",NA
"344","180205_Smp_L1C33DCMplus20m_B"," L-Arginosuccinic acid",4428
"345","180205_Smp_L1C33DCMplus20m_C"," L-Arginosuccinic acid",5147
"346","180205_Smp_L2C1DCMless10m_A"," L-Arginosuccinic acid",12204
"347","180205_Smp_L2C1DCMless10m_B"," L-Arginosuccinic acid",14783
"348","180205_Smp_L2C1DCMless10m_C"," L-Arginosuccinic acid",NA
"349","180205_Smp_L2C1DCMless20m_A"," L-Arginosuccinic acid",7055
"350","180205_Smp_L2C1DCMless20m_B"," L-Arginosuccinic acid",NA
"351","180205_Smp_L2C1DCMless20m_C"," L-Arginosuccinic acid",4212
"352","180205_Smp_L2C2DCM_A"," L-Arginosuccinic acid",3921
"353","180205_Smp_L2C2DCM_B"," L-Arginosuccinic acid",3233
"354","180205_Smp_L2C2DCM_C"," L-Arginosuccinic acid",4281
"355","180205_Smp_L2C2DCMplus10m_A"," L-Arginosuccinic acid",NA
"356","180205_Smp_L2C2DCMplus10m_B"," L-Arginosuccinic acid",12062
"357","180205_Smp_L2C2DCMplus10m_C"," L-Arginosuccinic acid",NA
"358","180205_Smp_L2C2DCMplus20m_A"," L-Arginosuccinic acid",4137
"359","180205_Smp_L2C2DCMplus20m_B"," L-Arginosuccinic acid",4090
"360","180205_Smp_L2C2DCMplus20m_C"," L-Arginosuccinic acid",7507
"361","180205_Poo_Sept29QC_1","L-Asparagine",180896
"362","180205_Poo_Sept29QC_2","L-Asparagine",44811
"363","180205_Poo_Sept29QC_3","L-Asparagine",38991
"364","180205_Poo_Sept29QC_4","L-Asparagine",46780
"365","180205_Poo_TruePoo_Full1","L-Asparagine",179749
"366","180205_Poo_TruePoo_Full2","L-Asparagine",44742
"367","180205_Poo_TruePoo_Full3","L-Asparagine",53236
"368","180205_Poo_TruePoo_Half1","L-Asparagine",89909
"369","180205_Poo_TruePoo_Half2","L-Asparagine",34720
"370","180205_Poo_TruePoo_Half3","L-Asparagine",29564
"371","180205_Smp_L1C32DCMless10m_A","L-Asparagine",150940
"372","180205_Smp_L1C32DCMless10m_B","L-Asparagine",55698
"373","180205_Smp_L1C32DCMless10m_C","L-Asparagine",53311
"374","180205_Smp_L1C32DCMless20m_A","L-Asparagine",66061
"375","180205_Smp_L1C32DCMless20m_B","L-Asparagine",84606
"376","180205_Smp_L1C32DCMless20m_C","L-Asparagine",81682
"377","180205_Smp_L1C33DCM_A","L-Asparagine",61821
"378","180205_Smp_L1C33DCM_B","L-Asparagine",92827
"379","180205_Smp_L1C33DCM_C","L-Asparagine",66558
"380","180205_Smp_L1C33DCMplus10m_A","L-Asparagine",199457
"381","180205_Smp_L1C33DCMplus10m_B","L-Asparagine",56615
"382","180205_Smp_L1C33DCMplus10m_C","L-Asparagine",68121
"383","180205_Smp_L1C33DCMplus20m_A","L-Asparagine",45990
"384","180205_Smp_L1C33DCMplus20m_B","L-Asparagine",50639
"385","180205_Smp_L1C33DCMplus20m_C","L-Asparagine",52428
"386","180205_Smp_L2C1DCMless10m_A","L-Asparagine",43747
"387","180205_Smp_L2C1DCMless10m_B","L-Asparagine",59299
"388","180205_Smp_L2C1DCMless10m_C","L-Asparagine",43169
"389","180205_Smp_L2C1DCMless20m_A","L-Asparagine",150552
"390","180205_Smp_L2C1DCMless20m_B","L-Asparagine",36755
"391","180205_Smp_L2C1DCMless20m_C","L-Asparagine",37638
"392","180205_Smp_L2C2DCM_A","L-Asparagine",46460
"393","180205_Smp_L2C2DCM_B","L-Asparagine",64559
"394","180205_Smp_L2C2DCM_C","L-Asparagine",53422
"395","180205_Smp_L2C2DCMplus10m_A","L-Asparagine",109699
"396","180205_Smp_L2C2DCMplus10m_B","L-Asparagine",49757
"397","180205_Smp_L2C2DCMplus10m_C","L-Asparagine",69186
"398","180205_Smp_L2C2DCMplus20m_A","L-Asparagine",120225
